,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
10821,F,Stratum 1,64,53,48,33,27,44,34.666666666666664,55.0,1
10822,M,Stratum 2,69,52,67,17,51,69,45.666666666666664,62.666666666666664,0
10823,F,Stratum 4,68,60,58,76,69,27,57.333333333333336,62.0,1
10824,M,Stratum 1,43,43,39,8,22,44,24.666666666666668,41.666666666666664,0
10825,F,Stratum 3,77,67,80,94,81,88,87.66666666666667,74.66666666666667,1
10826,F,Stratum 1,45,51,58,18,35,6,19.666666666666668,51.333333333333336,1
10827,M,Stratum 2,58,60,40,64,39,2,35.0,52.666666666666664,0
10828,M,Stratum 2,77,67,46,63,77,82,74.0,63.333333333333336,0
10829,F,Stratum 1,50,60,57,71,78,58,69.0,55.666666666666664,1
10830,F,Stratum 1,45,56,50,36,51,22,36.333333333333336,50.333333333333336,1
10831,F,Stratum 1,54,53,42,3,25,21,16.333333333333332,49.666666666666664,1
10832,M,Stratum 1,52,53,59,57,95,90,80.66666666666667,54.666666666666664,0
10833,M,Stratum 1,62,60,57,62,68,74,68.0,59.666666666666664,0
10834,F,Stratum 2,54,58,62,66,52,62,60.0,58.0,1
10835,F,Stratum 2,72,73,82,91,75,97,87.66666666666667,75.66666666666667,1
10836,M,Stratum 2,60,56,46,40,51,44,45.0,54.0,0
10837,F,Stratum 1,57,56,53,73,49,50,57.333333333333336,55.333333333333336,1
10838,F,Stratum 3,55,54,60,31,15,75,40.333333333333336,56.333333333333336,1
10839,M,Stratum 3,50,60,53,39,54,64,52.333333333333336,54.333333333333336,0
10840,M,Stratum 3,63,67,49,44,85,78,69.0,59.666666666666664,0
10841,M,Stratum 1,71,67,57,36,37,47,40.0,65.0,0
10842,M,Stratum 3,45,41,44,18,9,14,13.666666666666666,43.333333333333336,0
10843,F,Stratum 2,77,60,49,80,83,50,71.0,62.0,1
10844,F,Stratum 3,74,56,62,66,49,83,66.0,64.0,1
10845,M,Stratum 3,58,42,44,30,33,39,34.0,48.0,0
10846,F,Stratum 3,95,73,100,98,98,100,98.66666666666667,89.33333333333333,1
10847,F,Stratum 3,71,67,76,84,86,89,86.33333333333333,71.33333333333333,1
10848,F,Stratum 3,68,47,76,47,56,85,62.666666666666664,63.666666666666664,1
10849,M,Stratum 3,54,51,54,56,65,85,68.66666666666667,53.0,0
10850,F,Stratum 1,55,64,48,59,80,77,72.0,55.666666666666664,1
10851,M,Stratum 2,40,44,50,21,21,54,32.0,44.666666666666664,0
10852,F,Stratum 1,57,48,43,41,16,20,25.666666666666668,49.333333333333336,1
10853,F,Stratum 1,62,60,48,55,55,10,40.0,56.666666666666664,1
10854,F,Stratum 3,74,64,64,44,79,76,66.33333333333333,67.33333333333333,1
10855,M,Stratum 1,65,62,70,35,32,80,49.0,65.66666666666667,0
10856,F,Stratum 1,62,62,46,81,79,82,80.66666666666667,56.666666666666664,1
10857,M,Stratum 1,52,51,54,8,1,1,3.3333333333333335,52.333333333333336,0
10858,M,Stratum 3,47,50,44,8,22,15,15.0,47.0,0
10859,M,Stratum 2,45,48,49,46,9,41,32.0,47.333333333333336,0
10860,M,Stratum 3,57,64,58,16,30,70,38.666666666666664,59.666666666666664,0
10861,M,Stratum 3,74,82,82,63,93,86,80.66666666666667,79.33333333333333,0
10862,F,Stratum 3,55,50,42,18,47,59,41.333333333333336,49.0,1
10863,F,Stratum 3,56,58,68,52,80,49,60.333333333333336,60.666666666666664,1
10864,M,Stratum 2,58,65,50,51,92,87,76.66666666666667,57.666666666666664,0
10865,M,Stratum 3,49,52,44,51,24,67,47.333333333333336,48.333333333333336,0
10866,M,Stratum 1,46,56,52,13,30,56,33.0,51.333333333333336,0
10867,M,Stratum 1,55,62,48,76,76,25,59.0,55.0,0
10868,F,Stratum 1,41,47,46,19,39,42,33.333333333333336,44.666666666666664,1
10869,M,Stratum 2,58,70,59,83,58,62,67.66666666666667,62.333333333333336,0
10870,F,Stratum 2,77,73,74,74,77,77,76.0,74.66666666666667,1
10871,F,Stratum 3,66,62,59,71,96,66,77.66666666666667,62.333333333333336,1
10872,F,Stratum 3,60,54,60,74,36,84,64.66666666666667,58.0,1
10873,F,Stratum 1,50,60,64,9,37,59,35.0,58.0,1
10874,M,Stratum 3,54,55,62,63,90,72,75.0,57.0,0
10875,M,Stratum 1,69,67,49,84,78,81,81.0,61.666666666666664,0
10876,M,Stratum 3,50,55,49,63,4,20,29.0,51.333333333333336,0
10877,M,Stratum 1,43,55,50,65,62,64,63.666666666666664,49.333333333333336,0
