,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
7509,F,Stratum 5,64,67,80,88,33,74,65.0,70.33333333333333,1,0.0893868023533435,0.9337070445161317
7510,M,Stratum 2,74,90,95,100,97,96,97.66666666666667,86.33333333333333,0,1.5217873450771193,2.5507880248650436
7511,M,Stratum 3,74,77,70,92,89,96,92.33333333333333,73.66666666666667,0,1.2879260319793597,1.270598915422156
7512,F,Stratum 1,60,58,55,95,80,33,69.33333333333333,57.666666666666664,1,0.2793991192452727,-0.34648206492675654
7513,F,Stratum 2,57,58,80,56,34,85,58.333333333333336,65.0,1,-0.2029398390188555,0.3946800510664949
7514,F,Stratum 3,61,62,64,84,90,85,86.33333333333333,62.333333333333336,1,1.0248320547443805,0.1251665543416765
7515,F,Stratum 3,59,62,59,21,81,86,62.666666666666664,60.0,1,-0.012927522126926296,-0.11065775529254003
7516,M,Stratum 3,74,77,90,100,92,92,94.66666666666667,80.33333333333333,0,1.3902403564596297,1.9443826572342016
7517,M,Stratum 3,56,49,76,79,47,91,72.33333333333333,60.333333333333336,0,0.4109461078627623,-0.07696856820193745
7518,M,Stratum 3,60,60,65,74,86,77,79.0,61.666666666666664,0,0.7032727492349616,0.05778818016047138
7519,M,Stratum 2,50,53,55,5,49,64,39.333333333333336,52.666666666666664,0,-1.036070766929623,-0.8518198712857915
7520,F,Stratum 3,68,65,53,44,85,48,59.0,62.0,1,-0.1737071748816357,0.09147736725107394
7521,M,Stratum 3,71,82,67,78,80,87,81.66666666666667,73.33333333333333,0,0.8202034057838415,1.2369097283315527
7522,F,Stratum 2,61,60,62,65,86,82,77.66666666666667,61.0,1,0.644807420960522,-0.009590194020733038
7523,F,Stratum 1,56,62,60,4,42,39,28.333333333333332,59.333333333333336,1,-1.5184097251937516,-0.17803612947374445
7524,M,Stratum 1,59,67,54,59,33,75,55.666666666666664,60.0,0,-0.3198704955677354,-0.11065775529254003
7525,F,Stratum 1,56,58,38,85,81,15,60.333333333333336,50.666666666666664,1,-0.11524184660719577,-1.0539549938294055
7526,F,Stratum 3,55,52,49,8,53,55,38.666666666666664,52.0,1,-1.0653034310668432,-0.9191982454669959
7527,F,Stratum 3,74,60,62,97,77,82,85.33333333333333,65.33333333333333,1,0.9809830585385506,0.42836923815709677
7528,F,Stratum 3,67,67,78,29,22,82,44.333333333333336,70.66666666666667,1,-0.8168257859004737,0.9673962316067349
7529,M,Stratum 3,64,70,72,60,69,79,69.33333333333333,68.66666666666667,0,0.2793991192452727,0.765261109063121
7530,M,Stratum 2,46,47,42,45,17,33,31.666666666666668,45.0,0,-1.3722464045076521,-1.6266711743696447
7531,M,Stratum 2,53,58,40,62,42,14,39.333333333333336,50.333333333333336,0,-1.036070766929623,-1.0876441809200073
7532,F,Stratum 2,50,47,72,21,67,68,52.0,56.333333333333336,1,-0.4806501483224448,-0.4812388132891654
7533,M,Stratum 1,41,43,44,13,13,50,25.333333333333332,42.666666666666664,0,-1.6499567138112412,-1.8624954840038614
7534,F,Stratum 2,52,49,57,21,41,8,23.333333333333332,52.666666666666664,1,-1.7376547062229009,-0.8518198712857915
7535,F,Stratum 2,57,58,53,47,77,52,58.666666666666664,56.0,1,-0.18832350695024577,-0.5149280003797679
7536,F,Stratum 3,69,58,68,55,70,86,70.33333333333333,65.0,1,0.3232481154511026,0.3946800510664949
7537,M,Stratum 3,66,65,57,88,98,69,85.0,62.666666666666664,0,0.9663667264699408,0.15885574143227837
7538,F,Stratum 3,66,62,80,80,85,90,85.0,69.33333333333333,1,0.9663667264699408,0.8326394832443247
7539,F,Stratum 2,62,60,52,31,51,49,43.666666666666664,58.0,1,-0.8460584500376938,-0.312792877836154
7540,M,Stratum 3,51,48,53,7,68,76,50.333333333333336,50.666666666666664,0,-0.5537318086654944,-1.0539549938294055
7541,M,Stratum 3,68,70,76,95,1,89,61.666666666666664,71.33333333333333,0,-0.05677651833275616,1.0347746057879386
7542,F,Stratum 3,71,56,85,67,40,96,67.66666666666667,70.66666666666667,1,0.20631745890222336,0.9673962316067349
7543,M,Stratum 3,52,56,59,11,48,66,41.666666666666664,55.666666666666664,0,-0.9337564424493535,-0.5486171874703706
7544,M,Stratum 2,66,65,50,81,87,85,84.33333333333333,60.333333333333336,0,0.9371340623327208,-0.07696856820193745
7545,M,Stratum 3,48,55,50,67,6,27,33.333333333333336,51.0,0,-1.2991647441646021,-1.0202658067388028
7546,M,Stratum 4,63,77,95,97,62,88,82.33333333333333,78.33333333333333,0,0.849436069921061,1.7422475346905875
7547,M,Stratum 2,55,64,58,8,14,89,37.0,59.0,0,-1.1383850914098927,-0.211725316564347
7548,M,Stratum 2,69,60,55,96,80,67,81.0,61.333333333333336,0,0.7909707416466214,0.02409899306986953
7549,F,Stratum 1,43,50,40,10,6,17,11.0,44.333333333333336,1,-2.2784589927614696,-1.6940495485508493
7550,M,Stratum 3,67,54,50,87,77,78,80.66666666666667,57.0,0,0.7763544095780116,-0.413860439107961
7551,F,Stratum 2,53,56,50,54,51,38,47.666666666666664,53.0,1,-0.6706624652143743,-0.818130684195189
7552,M,Stratum 2,71,77,85,48,97,98,81.0,77.66666666666667,0,0.7909707416466214,1.674869160509384
7553,M,Stratum 2,56,62,64,76,40,69,61.666666666666664,60.666666666666664,0,-0.05677651833275616,-0.043279381111335606
7554,M,Stratum 3,54,53,55,76,68,49,64.33333333333333,54.0,0,0.06015413821612338,-0.7170631229233819
7555,M,Stratum 3,48,47,50,68,78,48,64.66666666666667,48.333333333333336,0,0.07477047028473376,-1.2897793034636214
7556,M,Stratum 2,60,51,64,56,73,75,68.0,58.333333333333336,0,0.2209337909708331,-0.2791036907455514
7557,M,Stratum 2,64,50,64,94,71,64,76.33333333333333,59.333333333333336,0,0.5863420926860818,-0.17803612947374445
7558,M,Stratum 1,63,54,57,73,75,64,70.66666666666667,58.0,0,0.33786444751971295,-0.312792877836154
7559,F,Stratum 2,69,54,60,95,91,79,88.33333333333333,61.0,1,1.1125300471560402,-0.009590194020733038
7560,M,Stratum 3,60,58,59,58,64,52,58.0,59.0,0,-0.21755617108746558,-0.211725316564347
7561,M,Stratum 2,60,73,67,83,81,87,83.66666666666667,66.66666666666667,0,0.9079013981955012,0.5631259865195071
7562,M,Stratum 3,67,60,48,83,82,70,78.33333333333333,58.333333333333336,0,0.6740400850977415,-0.2791036907455514
7563,M,Stratum 4,74,70,85,89,91,94,91.33333333333333,76.33333333333333,0,1.2440770357735298,1.5401124121469736
7564,F,Stratum 2,68,77,95,98,92,95,95.0,80.0,1,1.4048566885282396,1.9106934701435996
7565,F,Stratum 2,56,53,52,64,35,70,56.333333333333336,53.666666666666664,1,-0.29063783143051525,-0.7507523100139845
7566,M,Stratum 1,57,62,52,68,65,31,54.666666666666664,57.0,0,-0.3637194917735652,-0.413860439107961
7567,M,Stratum 3,64,70,55,96,33,57,62.0,63.0,0,-0.0421601862641461,0.19254492852288094
7568,F,Stratum 3,62,58,52,79,21,81,60.333333333333336,57.333333333333336,1,-0.11524184660719577,-0.3801712520173584
7569,M,Stratum 4,68,56,67,96,55,71,74.0,63.666666666666664,0,0.48402776820581234,0.25992330270408537
7570,M,Stratum 2,59,58,50,79,67,78,74.66666666666667,55.666666666666664,0,0.5132604323430324,-0.5486171874703706
7571,F,Stratum 3,47,58,55,39,67,60,55.333333333333336,53.333333333333336,1,-0.33448682763634513,-0.7844414971045863
7572,F,Stratum 3,69,70,68,90,80,83,84.33333333333333,69.0,1,0.9371340623327208,0.7989502961537228
7573,F,Stratum 1,50,51,50,36,45,59,46.666666666666664,50.333333333333336,1,-0.7145114614202042,-1.0876441809200073
7574,M,Stratum 2,67,70,59,59,82,70,70.33333333333333,65.33333333333333,0,0.3232481154511026,0.42836923815709677
7575,M,Stratum 3,71,77,53,96,94,58,82.66666666666667,67.0,0,0.8640524019896714,0.5968151736101088
7576,F,Stratum 3,71,67,60,99,95,79,91.0,66.0,1,1.22946070370492,0.4957476123383019
7577,F,Stratum 2,46,58,48,58,88,41,62.333333333333336,50.666666666666664,1,-0.027543854195536045,-1.0539549938294055
7578,M,Stratum 3,60,60,67,76,63,87,75.33333333333333,62.333333333333336,0,0.5424930964802519,0.1251665543416765
7579,M,Stratum 2,61,58,72,74,68,84,75.33333333333333,63.666666666666664,0,0.5424930964802519,0.25992330270408537
7580,M,Stratum 1,58,52,52,54,9,64,42.333333333333336,54.0,0,-0.9045237783121334,-0.7170631229233819
7581,F,Stratum 4,72,62,53,97,86,82,88.33333333333333,62.333333333333336,1,1.1125300471560402,0.1251665543416765
7582,F,Stratum 2,52,53,38,3,8,40,17.0,47.666666666666664,1,-2.01536501552649,-1.3571576776448264
7583,F,Stratum 1,59,51,48,67,53,34,51.333333333333336,52.666666666666664,1,-0.5098828124596646,-0.8518198712857915
7584,M,Stratum 4,60,56,54,70,67,63,66.66666666666667,56.666666666666664,0,0.16246846269639348,-0.44754962619856353
7585,F,Stratum 3,67,82,82,95,95,97,95.66666666666667,77.0,1,1.4340893526654597,1.6074907863281787
7586,F,Stratum 2,67,67,54,85,70,13,56.0,62.666666666666664,1,-0.3052541634991253,0.15885574143227837
7587,M,Stratum 3,57,62,50,36,21,13,23.333333333333332,56.333333333333336,0,-1.7376547062229009,-0.4812388132891654
7588,M,Stratum 3,47,60,44,17,51,55,41.0,50.333333333333336,0,-0.9629891065865733,-1.0876441809200073
7589,F,Stratum 3,67,73,43,77,35,8,40.0,61.0,1,-1.0068381027924032,-0.009590194020733038
7590,M,Stratum 2,54,53,57,25,2,61,29.333333333333332,54.666666666666664,0,-1.4745607289879217,-0.6496847487421775
7591,F,Stratum 3,47,44,58,19,10,49,26.0,49.666666666666664,1,-1.6207240496740214,-1.1550225551012125
7592,M,Stratum 4,71,67,64,84,82,82,82.66666666666667,67.33333333333333,0,0.8640524019896714,0.6305043607007107
7593,M,Stratum 3,56,60,49,43,72,37,50.666666666666664,55.0,0,-0.5391154765968847,-0.615995561651575
7594,M,Stratum 2,69,70,54,37,10,93,46.666666666666664,64.33333333333333,0,-0.7145114614202042,0.32730167688528977
7595,M,Stratum 3,53,58,64,64,6,34,34.666666666666664,58.333333333333336,0,-1.2406994158901625,-0.2791036907455514
7596,M,Stratum 3,58,55,53,69,46,70,61.666666666666664,55.333333333333336,0,-0.05677651833275616,-0.5823063745609723
7597,M,Stratum 5,56,62,85,86,88,98,90.66666666666667,67.66666666666667,0,1.2148443716363104,0.664193547791314
7598,M,Stratum 2,62,47,46,3,44,42,29.666666666666668,51.666666666666664,0,-1.459944396919312,-0.9528874325575984
7599,M,Stratum 3,69,65,72,64,87,83,78.0,68.66666666666667,0,0.6594237530291318,0.765261109063121
7600,M,Stratum 3,66,53,52,55,14,51,40.0,57.0,0,-1.0068381027924032,-0.413860439107961
7601,F,Stratum 3,64,65,60,69,57,79,68.33333333333333,63.0,1,0.23555012303944284,0.19254492852288094
7602,M,Stratum 3,55,54,34,76,5,12,31.0,47.666666666666664,0,-1.401479068644872,-1.3571576776448264
7603,M,Stratum 1,62,53,42,52,10,67,43.0,52.333333333333336,0,-0.8752911141749136,-0.8855090583763934
7604,M,Stratum 4,71,77,72,92,96,90,92.66666666666667,73.33333333333333,0,1.30254236404797,1.2369097283315527
7605,F,Stratum 5,77,73,85,94,95,90,93.0,78.33333333333333,1,1.3171586961165798,1.7422475346905875
7606,M,Stratum 2,56,65,57,6,20,80,35.333333333333336,59.333333333333336,0,-1.2114667517529425,-0.17803612947374445
7607,M,Stratum 3,54,49,40,1,11,68,26.666666666666668,47.666666666666664,0,-1.5914913855368016,-1.3571576776448264
7608,M,Stratum 3,64,82,57,73,74,84,77.0,67.66666666666667,0,0.6155747568233019,0.664193547791314
7609,F,Stratum 2,57,55,52,48,69,47,54.666666666666664,54.666666666666664,1,-0.3637194917735652,-0.6496847487421775
7610,M,Stratum 2,61,56,76,96,63,91,83.33333333333333,64.33333333333333,0,0.8932850661268908,0.32730167688528977
7611,M,Stratum 2,75,70,85,93,98,90,93.66666666666667,76.66666666666667,0,1.3463913602538,1.573801599237577
7612,M,Stratum 3,50,47,62,35,11,86,44.0,53.0,0,-0.8314421179690837,-0.818130684195189
7613,F,Stratum 3,56,65,54,40,24,75,46.333333333333336,58.333333333333336,1,-0.729127793488814,-0.2791036907455514
7614,M,Stratum 3,55,60,52,89,94,38,73.66666666666667,55.666666666666664,0,0.46941143613720254,-0.5486171874703706
7615,M,Stratum 5,60,73,57,72,73,72,72.33333333333333,63.333333333333336,0,0.4109461078627623,0.2262341156134835
7616,F,Stratum 1,66,58,55,99,91,56,82.0,59.666666666666664,1,0.8348197378524512,-0.14434694238314258
7617,F,Stratum 1,56,56,43,63,70,35,56.0,51.666666666666664,1,-0.3052541634991253,-0.9528874325575984
7618,F,Stratum 2,54,56,49,50,15,87,50.666666666666664,53.0,1,-0.5391154765968847,-0.818130684195189
7619,M,Stratum 3,56,51,62,36,82,71,63.0,56.333333333333336,0,0.0016888099416837636,-0.4812388132891654
7620,M,Stratum 5,56,70,82,97,99,97,97.66666666666667,69.33333333333333,0,1.5217873450771193,0.8326394832443247
7621,F,Stratum 2,57,70,49,81,80,19,60.0,58.666666666666664,1,-0.12985817867580585,-0.24541450365494957
7622,M,Stratum 2,62,54,43,36,30,43,36.333333333333336,53.0,0,-1.1676177555471126,-0.818130684195189
7623,M,Stratum 4,66,62,62,25,43,75,47.666666666666664,63.333333333333336,0,-0.6706624652143743,0.2262341156134835
7624,F,Stratum 2,81,70,67,82,88,94,88.0,72.66666666666667,1,1.0979137150874305,1.169531354150349
7625,M,Stratum 4,69,70,90,96,90,96,94.0,76.33333333333333,0,1.3610076923224097,1.5401124121469736
7626,F,Stratum 1,61,56,48,61,94,67,74.0,55.0,1,0.48402776820581234,-0.615995561651575
7627,M,Stratum 5,61,70,72,75,66,90,77.0,67.66666666666667,0,0.6155747568233019,0.664193547791314
7628,M,Stratum 3,67,64,68,42,74,80,65.33333333333333,66.33333333333333,0,0.10400313442195325,0.5294367994289038
7629,F,Stratum 2,74,77,90,34,64,100,66.0,80.33333333333333,1,0.13323579855917336,1.9443826572342016
7630,F,Stratum 4,47,56,50,20,21,51,30.666666666666668,51.0,1,-1.416095400713482,-1.0202658067388028
7631,F,Stratum 2,48,47,52,14,43,42,33.0,49.0,1,-1.3137810762332123,-1.222400929282417
7632,F,Stratum 3,54,58,55,50,61,21,44.0,55.666666666666664,1,-0.8314421179690837,-0.5486171874703706
7633,M,Stratum 3,87,70,62,10,8,72,30.0,73.0,0,-1.4453280648507019,1.2032205412409507
7634,M,Stratum 3,66,62,43,81,29,70,60.0,57.0,0,-0.12985817867580585,-0.413860439107961
7635,F,Stratum 3,65,62,48,84,62,54,66.66666666666667,58.333333333333336,1,0.16246846269639348,-0.2791036907455514
7636,F,Stratum 3,65,62,68,51,47,82,60.0,65.0,1,-0.12985817867580585,0.3946800510664949
7637,M,Stratum 4,46,53,60,41,42,73,52.0,53.0,0,-0.4806501483224448,-0.818130684195189
7638,M,Stratum 2,72,73,80,94,91,89,91.33333333333333,75.0,0,1.2440770357735298,1.4053556637845648
7639,M,Stratum 4,75,64,62,87,88,87,87.33333333333333,67.0,0,1.0686810509502103,0.5968151736101088
7640,M,Stratum 3,65,64,43,76,62,45,61.0,57.333333333333336,0,-0.08600918246997598,-0.3801712520173584
7641,M,Stratum 1,66,58,49,84,85,70,79.66666666666667,57.666666666666664,0,0.7325054133721818,-0.34648206492675654
7642,M,Stratum 6,38,50,54,58,39,51,49.333333333333336,47.333333333333336,0,-0.5975808048713244,-1.3908468647354282
7643,M,Stratum 4,77,77,85,82,89,94,88.33333333333333,79.66666666666667,0,1.1125300471560402,1.8770042830529978
7644,M,Stratum 4,67,60,67,23,25,83,43.666666666666664,64.66666666666667,0,-0.8460584500376938,0.36099086397589303
7645,M,Stratum 1,65,67,65,73,86,73,77.33333333333333,65.66666666666667,0,0.6301910888919117,0.4620584252477
7646,F,Stratum 3,50,53,52,57,54,71,60.666666666666664,51.666666666666664,1,-0.10062551453858604,-0.9528874325575984
7647,M,Stratum 3,78,70,72,61,87,85,77.66666666666667,73.33333333333333,0,0.644807420960522,1.2369097283315527
7648,M,Stratum 4,81,77,85,70,89,90,83.0,81.0,0,0.8786687340582812,2.0117610314154066
7649,F,Stratum 3,71,67,74,55,27,88,56.666666666666664,70.66666666666667,1,-0.2760214993619055,0.9673962316067349
7650,F,Stratum 4,71,65,80,84,82,91,85.66666666666667,72.0,1,0.995599390607161,1.1021529799691439
7651,M,Stratum 3,45,44,54,44,9,74,42.333333333333336,47.666666666666664,0,-0.9045237783121334,-1.3571576776448264
7652,F,Stratum 3,62,70,60,78,95,88,87.0,64.0,1,1.0540647188816006,0.2936124897946879
7653,M,Stratum 4,64,60,57,41,78,85,68.0,60.333333333333336,0,0.2209337909708331,-0.07696856820193745
7654,M,Stratum 3,50,53,48,25,40,47,37.333333333333336,50.333333333333336,0,-1.1237687593412828,-1.0876441809200073
7655,F,Stratum 2,55,54,60,93,74,76,81.0,56.333333333333336,1,0.7909707416466214,-0.4812388132891654
7656,M,Stratum 2,64,73,46,20,78,53,50.333333333333336,61.0,0,-0.5537318086654944,-0.009590194020733038
7657,M,Stratum 1,41,45,52,46,37,49,44.0,46.0,0,-0.8314421179690837,-1.5256036130978379
7658,M,Stratum 1,40,42,40,12,55,10,25.666666666666668,40.666666666666664,0,-1.6353403817426313,-2.064630606547475
7659,M,Stratum 4,59,55,65,96,80,91,89.0,59.666666666666664,0,1.1417627112932602,-0.14434694238314258
7660,F,Stratum 2,60,70,64,94,87,76,85.66666666666667,64.66666666666667,1,0.995599390607161,0.36099086397589303
7661,M,Stratum 1,45,56,55,64,46,51,53.666666666666664,52.0,0,-0.4075684879793951,-0.9191982454669959
7662,F,Stratum 3,48,49,44,15,16,5,12.0,47.0,1,-2.2346099965556396,-1.4245360518260308
7663,F,Stratum 3,66,62,68,75,77,80,77.33333333333333,65.33333333333333,1,0.6301910888919117,0.42836923815709677
7664,F,Stratum 2,54,49,57,36,75,53,54.666666666666664,53.333333333333336,1,-0.3637194917735652,-0.7844414971045863
7665,M,Stratum 4,68,67,82,96,94,98,96.0,72.33333333333333,0,1.4487056847340694,1.1358421670597456
7666,F,Stratum 2,48,53,42,24,10,43,25.666666666666668,47.666666666666664,1,-1.6353403817426313,-1.3571576776448264
7667,F,Stratum 2,57,65,54,64,54,75,64.33333333333333,58.666666666666664,1,0.06015413821612338,-0.24541450365494957
7668,F,Stratum 4,67,64,62,67,93,77,79.0,64.33333333333333,1,0.7032727492349616,0.32730167688528977
7669,M,Stratum 2,87,82,85,98,99,96,97.66666666666667,84.66666666666667,0,1.5217873450771193,2.382342089412033
7670,M,Stratum 4,57,56,72,52,80,77,69.66666666666667,61.666666666666664,0,0.29401545131388307,0.05778818016047138
7671,F,Stratum 2,62,82,62,72,59,77,69.33333333333333,68.66666666666667,1,0.2793991192452727,0.765261109063121
7672,M,Stratum 1,51,58,44,45,11,39,31.666666666666668,51.0,0,-1.3722464045076521,-1.0202658067388028
7673,F,Stratum 1,60,58,74,29,11,73,37.666666666666664,64.0,1,-1.109152427272673,0.2936124897946879
7674,F,Stratum 3,66,67,76,62,39,92,64.33333333333333,69.66666666666667,1,0.06015413821612338,0.866328670334928
7675,M,Stratum 3,53,52,65,60,52,71,61.0,56.666666666666664,0,-0.08600918246997598,-0.44754962619856353
7676,M,Stratum 2,66,77,78,98,96,88,94.0,73.66666666666667,0,1.3610076923224097,1.270598915422156
7677,M,Stratum 3,71,67,74,93,86,90,89.66666666666667,70.66666666666667,0,1.1709953754304805,0.9673962316067349
7678,M,Stratum 3,64,55,67,54,34,91,59.666666666666664,62.0,0,-0.1444745107444159,0.09147736725107394
7679,F,Stratum 2,56,65,60,70,54,72,65.33333333333333,60.333333333333336,1,0.10400313442195325,-0.07696856820193745
7680,M,Stratum 2,43,50,54,4,12,27,14.333333333333334,49.0,0,-2.1322956720753696,-1.222400929282417
7681,F,Stratum 1,61,73,64,96,77,73,82.0,66.0,1,0.8348197378524512,0.4957476123383019
7682,M,Stratum 3,67,56,44,78,26,44,49.333333333333336,55.666666666666664,0,-0.5975808048713244,-0.5486171874703706
7683,F,Stratum 3,64,60,59,19,92,87,66.0,61.0,1,0.13323579855917336,-0.009590194020733038
7684,M,Stratum 2,66,70,74,26,40,96,54.0,70.0,0,-0.39295215591078503,0.9000178574255299
7685,M,Stratum 4,87,82,82,88,98,98,94.66666666666667,83.66666666666667,0,1.3902403564596297,2.2812745281402256
7686,F,Stratum 5,59,56,72,88,85,82,85.0,62.333333333333336,1,0.9663667264699408,0.1251665543416765
7687,M,Stratum 4,61,77,82,98,99,90,95.66666666666667,73.33333333333333,0,1.4340893526654597,1.2369097283315527
7688,F,Stratum 3,62,60,90,54,82,99,78.33333333333333,70.66666666666667,1,0.6740400850977415,0.9673962316067349
7689,F,Stratum 4,65,68,78,80,84,93,85.66666666666667,70.33333333333333,1,0.995599390607161,0.9337070445161317
7690,M,Stratum 5,64,90,90,89,96,100,95.0,81.33333333333333,0,1.4048566885282396,2.0454502185060086
7691,M,Stratum 2,52,51,42,71,26,53,50.0,48.333333333333336,0,-0.5683481407341046,-1.2897793034636214
7692,F,Stratum 3,81,70,64,93,89,89,90.33333333333333,71.66666666666667,1,1.2002280395676999,1.0684637928785419
7693,M,Stratum 4,71,62,95,82,96,98,92.0,76.0,0,1.2733096999107498,1.5064232250563718
7694,F,Stratum 3,75,67,65,72,83,83,79.33333333333333,69.0,1,0.7178890813035714,0.7989502961537228
7695,M,Stratum 3,69,64,68,54,96,82,77.33333333333333,67.0,0,0.6301910888919117,0.5968151736101088
7696,F,Stratum 3,58,62,57,72,35,46,51.0,59.0,1,-0.5244991445282746,-0.211725316564347
7697,M,Stratum 3,66,73,70,74,95,82,83.66666666666667,69.66666666666667,0,0.9079013981955012,0.866328670334928
7698,M,Stratum 3,74,70,58,99,75,93,89.0,67.33333333333333,0,1.1417627112932602,0.6305043607007107
7699,M,Stratum 2,47,40,49,12,23,29,21.333333333333332,45.333333333333336,0,-1.8253526986345607,-1.5929819872790423
7700,M,Stratum 2,60,55,49,50,21,72,47.666666666666664,54.666666666666664,0,-0.6706624652143743,-0.6496847487421775
7701,M,Stratum 2,71,77,57,91,86,47,74.66666666666667,68.33333333333333,0,0.5132604323430324,0.7315719219725177
7702,M,Stratum 2,59,62,64,60,75,82,72.33333333333333,61.666666666666664,0,0.4109461078627623,0.05778818016047138
7703,M,Stratum 2,43,56,49,43,25,8,25.333333333333332,49.333333333333336,0,-1.6499567138112412,-1.1887117421918143
7704,F,Stratum 3,53,64,58,80,73,65,72.66666666666667,58.333333333333336,1,0.4255624399313727,-0.2791036907455514
7705,M,Stratum 2,77,73,57,98,97,80,91.66666666666667,69.0,0,1.2586933678421401,0.7989502961537228
7706,F,Stratum 3,41,47,54,10,30,38,26.0,47.333333333333336,1,-1.6207240496740214,-1.3908468647354282
7707,F,Stratum 3,61,44,44,60,11,27,32.666666666666664,49.666666666666664,1,-1.3283974083018224,-1.1550225551012125
7708,M,Stratum 4,65,100,72,91,84,86,87.0,79.0,0,1.0540647188816006,1.8096259088717928
7709,F,Stratum 1,54,58,42,87,71,22,60.0,51.333333333333336,1,-0.12985817867580585,-0.9865766196482003
7710,M,Stratum 1,78,73,80,99,92,96,95.66666666666667,77.0,0,1.4340893526654597,1.6074907863281787
7711,F,Stratum 2,56,56,54,2,7,75,28.0,55.333333333333336,1,-1.5330260572623615,-0.5823063745609723
7712,M,Stratum 2,77,91,70,97,85,96,92.66666666666667,79.33333333333333,0,1.30254236404797,1.8433150959623945
7713,F,Stratum 3,58,60,54,25,73,58,52.0,57.333333333333336,1,-0.4806501483224448,-0.3801712520173584
7714,F,Stratum 5,64,62,74,87,88,74,83.0,66.66666666666667,1,0.8786687340582812,0.5631259865195071
7715,F,Stratum 4,56,70,76,83,78,93,84.66666666666667,67.33333333333333,1,0.9517503944013311,0.6305043607007107
7716,M,Stratum 2,60,64,74,72,51,92,71.66666666666667,66.0,0,0.38171344372554283,0.4957476123383019
7717,F,Stratum 2,62,60,64,56,41,50,49.0,62.0,1,-0.6121971369399344,0.09147736725107394
7718,M,Stratum 1,64,67,49,86,94,75,85.0,60.0,0,0.9663667264699408,-0.11065775529254003
7719,M,Stratum 2,49,62,65,69,48,84,67.0,58.666666666666664,0,0.17708479476500325,-0.24541450365494957
7720,M,Stratum 2,53,62,62,1,5,2,2.6666666666666665,59.0,0,-2.6438672944767183,-0.211725316564347
7721,M,Stratum 2,57,62,48,83,88,83,84.66666666666667,55.666666666666664,0,0.9517503944013311,-0.5486171874703706
7722,M,Stratum 3,60,64,82,49,74,89,70.66666666666667,68.66666666666667,0,0.33786444751971295,0.765261109063121
7723,M,Stratum 2,56,65,58,88,77,81,82.0,59.666666666666664,0,0.8348197378524512,-0.14434694238314258
7724,M,Stratum 1,81,62,68,88,62,83,77.66666666666667,70.33333333333333,0,0.644807420960522,0.9337070445161317
7725,F,Stratum 1,45,52,53,72,52,46,56.666666666666664,50.0,1,-0.2760214993619055,-1.12133336801061
7726,M,Stratum 4,62,62,57,81,80,80,80.33333333333333,60.333333333333336,0,0.7617380775094013,-0.07696856820193745
7727,M,Stratum 1,56,53,43,59,31,57,49.0,50.666666666666664,0,-0.6121971369399344,-1.0539549938294055
7728,F,Stratum 2,59,60,62,72,52,69,64.33333333333333,60.333333333333336,1,0.06015413821612338,-0.07696856820193745
7729,M,Stratum 3,66,65,64,86,95,79,86.66666666666667,65.0,0,1.039448386812991,0.3946800510664949
7730,M,Stratum 2,55,56,64,62,55,86,67.66666666666667,58.333333333333336,0,0.20631745890222336,-0.2791036907455514
7731,M,Stratum 2,55,58,65,51,36,75,54.0,59.333333333333336,0,-0.39295215591078503,-0.17803612947374445
7732,M,Stratum 2,49,60,53,65,84,35,61.333333333333336,54.0,0,-0.0713928504013659,-0.7170631229233819
7733,M,Stratum 2,77,73,80,92,92,91,91.66666666666667,76.66666666666667,0,1.2586933678421401,1.573801599237577
7734,F,Stratum 3,77,73,80,98,96,92,95.33333333333333,76.66666666666667,1,1.4194730205968493,1.573801599237577
7735,M,Stratum 3,66,67,60,63,65,67,65.0,64.33333333333333,0,0.0893868023533435,0.32730167688528977
7736,M,Stratum 1,56,52,44,89,96,9,64.66666666666667,50.666666666666664,0,0.07477047028473376,-1.0539549938294055
7737,M,Stratum 2,56,53,39,24,41,51,38.666666666666664,49.333333333333336,0,-1.0653034310668432,-1.1887117421918143
7738,M,Stratum 1,58,56,50,41,71,62,58.0,54.666666666666664,0,-0.21755617108746558,-0.6496847487421775
7739,F,Stratum 1,54,56,44,67,71,35,57.666666666666664,51.333333333333336,1,-0.23217250315607563,-0.9865766196482003
7740,F,Stratum 3,57,60,65,54,10,78,47.333333333333336,60.666666666666664,1,-0.685278797282984,-0.043279381111335606
7741,F,Stratum 3,58,65,54,74,72,66,70.66666666666667,59.0,1,0.33786444751971295,-0.211725316564347
7742,M,Stratum 2,57,56,46,3,13,43,19.666666666666668,53.0,0,-1.8984343589776107,-0.818130684195189
7743,M,Stratum 2,56,49,49,67,37,40,48.0,51.333333333333336,0,-0.6560461331457642,-0.9865766196482003
7744,M,Stratum 3,64,77,67,36,28,84,49.333333333333336,69.33333333333333,0,-0.5975808048713244,0.8326394832443247
7745,F,Stratum 2,64,67,72,70,45,71,62.0,67.66666666666667,1,-0.0421601862641461,0.664193547791314
7746,M,Stratum 3,53,56,57,39,32,73,48.0,55.333333333333336,0,-0.6560461331457642,-0.5823063745609723
