,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
85,F,Stratum 4,49,48,59,25,5,86,38.666666666666664,52.0,1,-1.0653034310668432,-0.9191982454669959
86,F,Stratum 6,60,57,80,93,65,91,83.0,65.66666666666667,1,0.8786687340582812,0.4620584252477
87,F,Stratum 1,68,56,62,33,51,61,48.333333333333336,62.0,1,-0.6414298010771542,0.09147736725107394
88,M,Stratum 6,62,59,88,100,89,100,96.33333333333333,69.66666666666667,0,1.4633220168026793,0.866328670334928
89,M,Stratum 6,52,48,82,91,72,93,85.33333333333333,60.666666666666664,0,0.9809830585385506,-0.043279381111335606
90,M,Stratum 6,81,83,92,91,100,100,97.0,85.33333333333333,0,1.4925546809398993,2.4497204635932364
91,M,Stratum 4,62,68,88,75,78,96,83.0,72.66666666666667,0,0.8786687340582812,1.169531354150349
92,M,Stratum 3,54,45,49,3,8,44,18.333333333333332,49.333333333333336,0,-1.9568996872520503,-1.1887117421918143
93,F,Stratum 3,52,36,64,99,10,85,64.66666666666667,50.666666666666664,1,0.07477047028473376,-1.0539549938294055
94,F,Stratum 2,67,53,100,1,2,8,3.6666666666666665,73.33333333333333,1,-2.6000182982708884,1.2369097283315527
95,M,Stratum 2,57,45,40,20,11,18,16.333333333333332,47.333333333333336,0,-2.0445976796637098,-1.3908468647354282
96,F,Stratum 3,62,59,75,81,98,87,88.66666666666667,65.33333333333333,1,1.1271463792246506,0.42836923815709677
97,F,Stratum 6,55,66,80,81,88,98,89.0,67.0,1,1.1417627112932602,0.5968151736101088
98,M,Stratum 4,53,51,73,33,22,76,43.666666666666664,59.0,0,-0.8460584500376938,-0.211725316564347
99,M,Stratum 4,60,59,76,85,23,95,67.66666666666667,65.0,0,0.20631745890222336,0.3946800510664949
100,M,Stratum 5,75,53,88,98,93,98,96.33333333333333,72.0,0,1.4633220168026793,1.1021529799691439
101,M,Stratum 5,43,48,85,35,43,93,57.0,58.666666666666664,0,-0.26140516729329544,-0.24541450365494957
102,M,Stratum 3,81,68,82,86,100,98,94.66666666666667,77.0,0,1.3902403564596297,1.6074907863281787
103,M,Stratum 4,62,45,70,51,68,90,69.66666666666667,59.0,0,0.29401545131388307,-0.211725316564347
104,M,Stratum 4,75,61,100,98,97,100,98.33333333333333,78.66666666666667,0,1.551020009214339,1.7759367217811908
105,F,Stratum 6,67,64,88,97,93,96,95.33333333333333,73.0,1,1.4194730205968493,1.2032205412409507
106,F,Stratum 3,53,50,49,53,25,38,38.666666666666664,50.666666666666664,1,-1.0653034310668432,-1.0539549938294055
107,F,Stratum 4,65,76,92,93,88,97,92.66666666666667,77.66666666666667,1,1.30254236404797,1.674869160509384
108,M,Stratum 5,75,72,96,66,97,100,87.66666666666667,81.0,0,1.0832973830188206,2.0117610314154066
109,M,Stratum 3,64,59,96,70,1,99,56.666666666666664,73.0,0,-0.2760214993619055,1.2032205412409507
110,F,Stratum 3,62,57,82,85,95,96,92.0,67.0,1,1.2733096999107498,0.5968151736101088
111,M,Stratum 5,75,61,92,90,20,92,67.33333333333333,76.0,0,0.19170112683361298,1.5064232250563718
112,M,Stratum 3,75,72,88,99,100,98,99.0,78.33333333333333,0,1.580252673351559,1.7422475346905875
113,M,Stratum 3,62,57,82,95,71,94,86.66666666666667,67.0,0,1.039448386812991,0.5968151736101088
114,M,Stratum 3,57,61,42,16,1,18,11.666666666666666,53.333333333333336,0,-2.2492263286242498,-0.7844414971045863
115,M,Stratum 3,53,55,60,51,54,60,55.0,56.0,0,-0.3491031597049552,-0.5149280003797679
116,M,Stratum 3,58,48,50,79,62,61,67.33333333333333,52.0,0,0.19170112683361298,-0.9191982454669959
117,M,Stratum 6,65,68,85,78,1,96,58.333333333333336,72.66666666666667,0,-0.2029398390188555,1.169531354150349
118,M,Stratum 6,81,78,96,89,62,100,83.66666666666667,85.0,0,0.9079013981955012,2.416031276502635
119,M,Stratum 3,53,49,50,40,20,22,27.333333333333332,50.666666666666664,0,-1.5622587213995813,-1.0539549938294055
120,M,Stratum 6,60,74,82,77,78,92,82.33333333333333,72.0,0,0.849436069921061,1.1021529799691439
121,M,Stratum 4,71,66,88,99,94,100,97.66666666666667,75.0,0,1.5217873450771193,1.4053556637845648
122,M,Stratum 6,55,47,85,59,82,98,79.66666666666667,62.333333333333336,0,0.7325054133721818,0.1251665543416765
123,F,Stratum 5,67,56,85,93,81,95,89.66666666666667,69.33333333333333,1,1.1709953754304805,0.8326394832443247
124,M,Stratum 6,56,48,80,76,12,97,61.666666666666664,61.333333333333336,0,-0.05677651833275616,0.02409899306986953
125,M,Stratum 5,71,61,100,80,95,98,91.0,77.33333333333333,0,1.22946070370492,1.6411799734187806
126,M,Stratum 3,51,59,96,61,40,97,66.0,68.66666666666667,0,0.13323579855917336,0.765261109063121
127,F,Stratum 3,60,64,76,81,11,93,61.666666666666664,66.66666666666667,1,-0.05677651833275616,0.5631259865195071
128,F,Stratum 3,64,55,58,95,28,83,68.66666666666667,59.0,1,0.25016645510805324,-0.211725316564347
129,M,Stratum 3,68,56,64,57,70,79,68.66666666666667,62.666666666666664,0,0.25016645510805324,0.15885574143227837
130,F,Stratum 2,62,68,52,71,61,67,66.33333333333333,60.666666666666664,1,0.14785213062778313,-0.043279381111335606
131,M,Stratum 3,49,47,59,37,26,88,50.333333333333336,51.666666666666664,0,-0.5537318086654944,-0.9528874325575984
132,M,Stratum 2,75,72,92,97,94,99,96.66666666666667,79.66666666666667,0,1.4779383488712896,1.8770042830529978
133,M,Stratum 2,57,49,76,34,29,83,48.666666666666664,60.666666666666664,0,-0.6268134690085444,-0.043279381111335606
134,M,Stratum 3,58,68,71,87,90,83,86.66666666666667,65.66666666666667,0,1.039448386812991,0.4620584252477
135,M,Stratum 3,47,48,76,73,57,77,69.0,57.0,0,0.264782787176663,-0.413860439107961
136,M,Stratum 4,62,50,88,22,32,97,50.333333333333336,66.66666666666667,0,-0.5537318086654944,0.5631259865195071
137,F,Stratum 4,54,65,82,98,98,97,97.66666666666667,67.0,1,1.5217873450771193,0.5968151736101088
138,M,Stratum 2,56,56,92,98,99,98,98.33333333333333,68.0,0,1.551020009214339,0.6978827348819159
139,M,Stratum 2,68,65,96,82,59,100,80.33333333333333,76.33333333333333,0,0.7617380775094013,1.5401124121469736
140,F,Stratum 3,60,59,67,32,65,73,56.666666666666664,62.0,1,-0.2760214993619055,0.09147736725107394
141,M,Stratum 1,47,45,43,10,7,10,9.0,45.0,0,-2.366156985173129,-1.6266711743696447
142,F,Stratum 2,54,53,57,53,83,55,63.666666666666664,54.666666666666664,1,0.030921474078903572,-0.6496847487421775
143,M,Stratum 2,49,39,55,6,14,41,20.333333333333332,47.666666666666664,0,-1.8692016948403904,-1.3571576776448264
144,M,Stratum 4,75,74,88,88,94,96,92.66666666666667,79.0,0,1.30254236404797,1.8096259088717928
145,M,Stratum 4,60,66,96,93,100,100,97.66666666666667,74.0,0,1.5217873450771193,1.3042881025127577
146,F,Stratum 5,51,55,60,57,81,65,67.66666666666667,55.333333333333336,1,0.20631745890222336,-0.5823063745609723
147,M,Stratum 2,71,65,76,98,78,99,91.66666666666667,70.66666666666667,0,1.2586933678421401,0.9673962316067349
148,M,Stratum 4,62,53,68,51,6,72,43.0,61.0,0,-0.8752911141749136,-0.009590194020733038
149,F,Stratum 1,43,45,46,46,45,17,36.0,44.666666666666664,1,-1.1822340876157227,-1.6603603614602473
150,M,Stratum 5,68,60,92,79,40,98,72.33333333333333,73.33333333333333,0,0.4109461078627623,1.2369097283315527
151,F,Stratum 5,71,66,73,92,85,94,90.33333333333333,70.0,1,1.2002280395676999,0.9000178574255299
152,M,Stratum 4,60,42,58,79,53,62,64.66666666666667,53.333333333333336,0,0.07477047028473376,-0.7844414971045863
153,M,Stratum 2,57,57,50,50,74,75,66.33333333333333,54.666666666666664,0,0.14785213062778313,-0.6496847487421775
154,F,Stratum 3,58,56,49,33,35,34,34.0,54.333333333333336,1,-1.2699320800273823,-0.6833739358327794
155,M,Stratum 2,51,45,40,37,21,8,22.0,45.333333333333336,0,-1.796120034497341,-1.5929819872790423
