,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
1564,M,Stratum_3,0.47368421052631576,0.61,0.4189189189189189,0.8585858585858586,0.9393939393939394,0.8787878787878788,0.8922558922558922,0.45045045045045046,0.0
1565,M,Stratum_2,0.47368421052631576,0.69,0.3108108108108108,0.5959595959595959,0.696969696969697,0.6060606060606061,0.632996632996633,0.45045045045045046,0.0
1566,M,Stratum_3,0.5263157894736842,0.66,0.4864864864864865,0.8484848484848485,0.9191919191919192,0.8686868686868687,0.8787878787878788,0.5135135135135135,0.0
1567,M,Stratum_1,0.5263157894736842,0.58,0.2972972972972973,0.7373737373737373,0.8282828282828283,0.3838383838383838,0.6498316498316498,0.4144144144144144,0.0
1568,F,Stratum_2,0.3026315789473684,0.53,0.25675675675675674,0.6060606060606061,0.25252525252525254,0.41414141414141414,0.42424242424242425,0.30180180180180183,1.0
1569,M,Stratum_2,0.40789473684210525,0.57,0.22972972972972974,0.20202020202020202,0.30303030303030304,0.18181818181818182,0.22895622895622897,0.3468468468468468,0.0
1570,M,Stratum_3,0.2894736842105263,0.45,0.32432432432432434,0.1919191919191919,0.08080808080808081,0.3838383838383838,0.21885521885521886,0.28378378378378377,0.0
1571,M,Stratum_2,0.6578947368421053,0.72,0.43243243243243246,0.8282828282828283,0.5353535353535354,0.7575757575757576,0.7070707070707071,0.5675675675675675,0.0
1572,M,Stratum_3,0.5263157894736842,0.61,0.21621621621621623,0.5252525252525253,0.5151515151515151,0.37373737373737376,0.47138047138047134,0.40090090090090086,0.0
1573,F,Stratum_4,0.40789473684210525,0.69,0.4189189189189189,0.5858585858585859,0.7171717171717171,0.6767676767676768,0.6599326599326599,0.463963963963964,1.0
1574,F,Stratum_4,0.5263157894736842,0.74,0.5675675675675675,0.8080808080808081,0.8888888888888888,0.8787878787878788,0.8585858585858586,0.5765765765765767,1.0
1575,M,Stratum_2,0.3684210526315789,0.57,0.24324324324324326,0.5252525252525253,0.8181818181818182,0.494949494949495,0.6127946127946128,0.33783783783783783,0.0
