,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
102,M,Stratum_3,PRIVATE,ACADEMIC,83,81,68,81,82,100,86,100,98,98,96.4,79.0,0
103,M,Stratum_4,PRIVATE,ACADEMIC,67,62,45,64,70,90,51,68,90,88,77.4,61.6,0
104,M,Stratum_4,PRIVATE,ACADEMIC,77,75,61,81,100,95,98,97,100,34,84.8,78.8,0
105,F,Stratum_6,PRIVATE,ACADEMIC,71,67,64,68,88,91,97,93,96,86,92.6,71.6,1
106,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,62,53,50,52,49,59,53,25,38,3,35.6,53.2,1
107,F,Stratum_4,PRIVATE,ACADEMIC,83,65,76,85,92,91,93,88,97,78,89.4,80.2,1
108,M,Stratum_5,PRIVATE,TECHNICAL/ACADEMIC,67,75,72,78,96,99,66,97,100,80,88.4,77.6,0
109,M,Stratum_3,PRIVATE,ACADEMIC,74,64,59,75,96,95,70,1,99,96,72.2,73.6,0
110,F,Stratum_3,PRIVATE,ACADEMIC,65,62,57,63,82,99,85,95,96,64,87.8,65.8,1
111,M,Stratum_5,PRIVATE,ACADEMIC,83,75,61,70,92,98,90,20,92,85,77.0,76.2,0
112,M,Stratum_3,PRIVATE,ACADEMIC,77,75,72,75,88,83,99,100,98,86,93.2,77.4,0
113,M,Stratum_3,PRIVATE,ACADEMIC,67,62,57,75,82,98,95,71,94,36,78.8,68.6,0
114,M,Stratum_3,PRIVATE,ACADEMIC,39,57,61,48,42,18,16,1,18,23,15.2,49.4,0
115,M,Stratum_3,PRIVATE,ACADEMIC,54,53,55,46,60,78,51,54,60,33,55.2,53.6,0
116,M,Stratum_3,PUBLIC,ACADEMIC,58,58,48,60,50,81,79,62,61,6,57.8,54.8,0
117,M,Stratum_6,PRIVATE,ACADEMIC,69,65,68,78,85,93,78,1,96,96,72.8,73.0,0
118,M,Stratum_6,PRIVATE,ACADEMIC,80,81,78,100,96,98,89,62,100,41,78.0,87.0,0
119,M,Stratum_3,PRIVATE,ACADEMIC,48,53,49,52,50,51,40,20,22,71,40.8,50.4,0
120,M,Stratum_6,PRIVATE,ACADEMIC,67,60,74,64,82,88,77,78,92,32,73.4,69.4,0
121,M,Stratum_4,PRIVATE,ACADEMIC,83,71,66,72,88,100,99,94,100,60,90.6,76.0,0
122,M,Stratum_6,PRIVATE,ACADEMIC,80,55,47,72,85,84,59,82,98,29,70.4,67.8,0
123,F,Stratum_5,PRIVATE,ACADEMIC,60,67,56,75,85,87,93,81,95,98,90.8,68.6,1
124,M,Stratum_6,PRIVATE,ACADEMIC,65,56,48,66,80,75,76,12,97,77,67.4,63.0,0
125,M,Stratum_5,PRIVATE,ACADEMIC,72,71,61,68,100,100,80,95,98,98,94.2,74.4,0
126,M,Stratum_3,PRIVATE,ACADEMIC,80,51,59,68,96,87,61,40,97,79,72.8,70.8,0
127,F,Stratum_3,PRIVATE,ACADEMIC,74,60,64,71,76,100,81,11,93,83,73.6,69.0,1
128,F,Stratum_3,PRIVATE,ACADEMIC,80,64,55,63,58,98,95,28,83,19,64.6,64.0,1
129,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,78,68,56,82,64,77,57,70,79,100,76.6,69.6,0
130,F,Stratum_2,PRIVATE,TECHNICAL,62,62,68,60,52,75,71,61,67,94,73.6,60.8,1
131,M,Stratum_3,PRIVATE,ACADEMIC,46,49,47,51,59,62,37,26,88,3,43.2,50.4,0
132,M,Stratum_2,PRIVATE,ACADEMIC,83,75,72,78,92,100,97,94,99,96,97.2,80.0,0
133,M,Stratum_2,PRIVATE,ACADEMIC,63,57,49,57,76,59,34,29,83,37,48.4,60.4,0
134,M,Stratum_3,PRIVATE,ACADEMIC,65,58,68,61,71,100,87,90,83,66,85.2,64.6,0
135,M,Stratum_3,PRIVATE,ACADEMIC,60,47,48,58,76,71,73,57,77,56,66.8,57.8,0
136,M,Stratum_4,PRIVATE,ACADEMIC,72,62,50,70,88,75,22,32,97,65,58.2,68.4,0
137,F,Stratum_4,PRIVATE,ACADEMIC,65,54,65,68,82,69,98,98,97,95,91.4,66.8,1
138,M,Stratum_2,PRIVATE,ACADEMIC,69,56,56,74,92,99,98,99,98,39,86.6,69.4,0
139,M,Stratum_2,PRIVATE,ACADEMIC,69,68,65,68,96,99,82,59,100,54,78.8,73.2,0
140,F,Stratum_3,PRIVATE,ACADEMIC,63,60,59,78,67,80,32,65,73,77,65.4,65.4,1
141,M,Stratum_1,PUBLIC,ACADEMIC,50,47,45,41,43,28,10,7,10,0,11.0,45.2,0
142,F,Stratum_2,PRIVATE,ACADEMIC,63,54,53,65,57,48,53,83,55,15,50.8,58.4,1
143,M,Stratum_2,PRIVATE,ACADEMIC,54,49,39,51,55,60,6,14,41,88,41.8,49.6,0
144,M,Stratum_4,PRIVATE,ACADEMIC,80,75,74,91,88,92,88,94,96,70,88.0,81.6,0
145,M,Stratum_4,PRIVATE,ACADEMIC,76,60,66,70,96,99,93,100,100,67,91.8,73.6,0
146,F,Stratum_5,PRIVATE,ACADEMIC,50,51,55,57,60,61,57,81,65,32,59.2,54.6,1
147,M,Stratum_2,PRIVATE,TECHNICAL,83,71,65,78,76,99,98,78,99,18,78.4,74.6,0
148,M,Stratum_4,PRIVATE,ACADEMIC,74,62,53,67,68,98,51,6,72,23,50.0,64.8,0
149,F,Stratum_1,PRIVATE,ACADEMIC,47,43,45,46,46,20,46,45,17,34,32.4,45.4,1
150,M,Stratum_5,PRIVATE,ACADEMIC,69,68,60,76,92,99,79,40,98,79,79.0,73.0,0
151,F,Stratum_5,PRIVATE,ACADEMIC,65,71,66,81,73,98,92,85,94,83,90.4,71.2,1
152,M,Stratum_4,PRIVATE,ACADEMIC,51,60,42,49,58,88,79,53,62,62,68.8,52.0,0
