,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
4648,M,Stratum_5,PRIVATE,ACADEMIC,56,64,64,56,68,95,64,69,91,50,73.8,61.6,0
4649,M,Stratum_3,PRIVATE,ACADEMIC,58,39,49,50,58,86,60,76,37,6,53.0,50.8,0
4650,F,Stratum_3,PRIVATE,ACADEMIC,70,66,67,70,92,65,78,37,99,95,74.8,73.0,1
4651,M,Stratum_4,PRIVATE,ACADEMIC,67,64,62,70,82,86,79,86,99,0,70.0,69.0,0
4652,F,Stratum_1,PRIVATE,ACADEMIC,65,60,60,60,76,98,100,83,87,85,90.6,64.2,1
4653,M,Stratum_6,PRIVATE,ACADEMIC,56,56,57,60,73,88,67,82,99,87,84.6,60.4,0
4654,M,Stratum_6,PRIVATE,ACADEMIC,100,61,61,77,90,92,73,50,100,71,77.2,77.8,0
4655,M,Stratum_6,PRIVATE,ACADEMIC,73,69,71,68,96,97,22,5,79,38,48.2,75.4,0
4656,F,Stratum_5,PRIVATE,ACADEMIC,73,60,56,62,88,89,81,60,98,85,82.6,67.8,1
4657,M,Stratum_6,PRIVATE,ACADEMIC,51,57,55,61,90,45,9,8,95,56,42.6,62.8,0
4658,F,Stratum_3,PRIVATE,ACADEMIC,51,48,40,45,42,33,51,11,51,1,29.4,45.2,1
4659,M,Stratum_6,PRIVATE,ACADEMIC,58,57,61,62,82,75,46,50,89,97,71.4,64.0,0
4660,M,Stratum_5,PRIVATE,ACADEMIC,72,54,53,62,82,60,21,11,89,38,43.8,64.6,0
4661,M,Stratum_3,PRIVATE,TECHNICAL,86,79,74,73,80,99,94,85,96,100,94.8,78.4,0
4662,M,Stratum_2,PRIVATE,ACADEMIC,51,54,57,56,50,91,75,64,14,91,67.0,53.6,0
4663,M,Stratum_2,PRIVATE,ACADEMIC,51,45,44,51,38,31,2,31,23,70,31.4,45.8,0
4664,F,Stratum_5,PRIVATE,ACADEMIC,67,63,64,90,82,99,95,84,96,11,77.0,73.2,1
4665,M,Stratum_4,PRIVATE,ACADEMIC,62,45,45,65,76,92,27,22,74,93,61.6,58.6,0
4666,M,Stratum_3,PRIVATE,ACADEMIC,72,64,60,73,90,100,86,42,95,54,75.4,71.8,0
4667,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,65,61,54,65,68,91,88,93,85,100,91.4,62.6,0
4668,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,62,66,57,61,67,96,90,85,83,91,89.0,62.6,0
4669,F,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,60,41,47,58,70,58,42,27,83,60,54.0,55.2,1
4670,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,65,61,55,68,60,89,67,79,79,32,69.2,61.8,0
4671,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,72,61,51,61,68,77,64,12,77,35,53.0,62.6,0
4672,M,Stratum_2,PRIVATE,ACADEMIC,40,46,42,46,43,28,3,3,10,33,15.4,43.4,0
4673,F,Stratum_1,PRIVATE,ACADEMIC,60,57,51,50,60,66,3,57,60,13,39.8,55.6,1
4674,F,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,60,61,55,64,78,79,67,3,1,17,33.4,63.6,1
4675,F,Stratum_3,PRIVATE,ACADEMIC,55,50,51,59,73,66,50,53,93,86,69.6,57.6,1
4676,F,Stratum_4,PRIVATE,ACADEMIC,69,87,74,77,85,60,26,52,97,59,58.8,78.4,1
4677,M,Stratum_3,PRIVATE,ACADEMIC,70,68,73,62,85,98,90,58,95,61,80.4,71.6,0
4678,M,Stratum_3,PRIVATE,ACADEMIC,67,74,67,74,68,94,100,64,87,83,85.6,70.0,0
4679,M,Stratum_4,PRIVATE,ACADEMIC,81,87,82,74,85,99,97,93,98,67,90.8,81.8,0
4680,F,Stratum_3,PUBLIC,ACADEMIC,70,50,62,47,48,93,48,44,36,51,54.4,55.4,1
4681,F,Stratum_2,PUBLIC,ACADEMIC,63,72,58,69,70,71,72,79,85,33,68.0,66.4,1
4682,M,Stratum_3,PRIVATE,ACADEMIC,54,64,67,62,64,69,90,75,86,13,66.6,62.2,0
4683,M,Stratum_3,PRIVATE,ACADEMIC,63,57,67,61,72,53,75,23,87,71,61.8,64.0,0
4684,M,Stratum_2,PRIVATE,ACADEMIC,71,66,67,68,70,98,78,91,86,11,72.8,68.4,0
4685,F,Stratum_3,PRIVATE,ACADEMIC,71,57,56,60,85,89,77,86,88,87,85.4,65.8,1
4686,M,Stratum_3,PRIVATE,ACADEMIC,67,66,58,65,52,100,68,63,62,50,68.6,61.6,0
4687,M,Stratum_4,PRIVATE,ACADEMIC,82,40,58,66,67,89,57,12,81,86,65.0,62.6,0
4688,M,Stratum_6,PRIVATE,ACADEMIC,81,59,65,66,82,99,54,45,91,59,69.6,70.6,0
4689,M,Stratum_2,PUBLIC,ACADEMIC,53,51,54,41,38,11,22,15,15,28,18.2,47.4,0
4690,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,58,48,55,49,57,37,17,26,80,14,34.8,53.4,1
4691,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,63,57,60,60,55,45,81,84,45,55,62.0,59.0,1
4692,F,Stratum_2,PRIVATE,TECHNICAL,49,50,53,62,44,54,46,62,52,92,61.2,51.6,1
4693,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,50,60,58,52,54,74,86,41,69,44,62.8,54.8,1
4694,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,50,54,51,48,46,40,28,30,54,58,42.0,49.8,1
4695,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,65,72,67,71,70,100,94,22,90,100,81.2,69.0,1
4696,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,82,59,67,77,90,95,96,64,100,55,82.0,75.0,1
4697,F,Stratum_1,PUBLIC,ACADEMIC,49,38,43,53,43,65,18,15,35,79,42.4,45.2,1
4698,F,Stratum_2,PUBLIC,ACADEMIC,43,51,44,38,42,32,18,33,62,94,47.8,43.6,1
4699,M,Stratum_1,PUBLIC,ACADEMIC,65,66,70,75,70,98,99,43,66,70,75.2,69.2,0
4700,F,Stratum_3,PRIVATE,ACADEMIC,71,66,82,68,78,97,88,85,91,84,89.0,73.0,1
4701,F,Stratum_2,PUBLIC,ACADEMIC,61,54,55,52,44,47,49,65,47,51,51.8,53.2,1
4702,F,Stratum_2,PUBLIC,ACADEMIC,56,72,73,67,65,74,67,38,77,71,65.4,66.6,1
4703,F,Stratum_3,PRIVATE,ACADEMIC,61,69,73,70,44,86,54,66,76,67,69.8,63.4,1
4704,M,Stratum_4,PRIVATE,ACADEMIC,71,63,67,74,76,93,75,84,61,84,79.4,70.2,0
4705,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,40,27,48,43,42,27,21,31,13,15,21.4,40.0,0
4706,F,Stratum_1,PRIVATE,ACADEMIC,69,64,64,62,90,79,67,33,93,50,64.4,69.8,1
4707,F,Stratum_4,PRIVATE,ACADEMIC,68,59,56,74,82,87,75,29,84,43,63.6,67.8,1
4708,F,Stratum_3,PRIVATE,ACADEMIC,70,66,60,65,48,84,97,49,22,51,60.6,61.8,1
4709,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,70,58,73,60,62,89,85,37,81,29,64.2,64.6,1
4710,M,Stratum_1,PUBLIC,ACADEMIC,51,51,58,61,49,55,27,73,45,48,49.6,54.0,0
4711,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,76,71,67,65,78,86,77,82,98,78,84.2,71.4,0
4712,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,65,61,70,64,59,74,95,60,27,59,63.0,63.8,1
4713,M,Stratum_2,PRIVATE,ACADEMIC,66,74,64,59,70,92,87,95,89,19,76.4,66.6,0
4714,M,Stratum_4,PRIVATE,ACADEMIC,55,64,70,67,46,74,44,84,75,97,74.8,60.4,0
4715,M,Stratum_3,PRIVATE,ACADEMIC,54,59,58,57,70,78,92,23,88,42,64.6,59.6,0
4716,F,Stratum_2,PRIVATE,ACADEMIC,57,51,52,52,54,75,46,56,65,50,58.4,53.2,1
4717,M,Stratum_3,PRIVATE,ACADEMIC,73,64,62,62,70,87,95,43,83,62,74.0,66.2,0
4718,M,Stratum_3,PRIVATE,ACADEMIC,57,51,50,56,50,58,26,25,8,30,29.4,52.8,0
4719,M,Stratum_1,PUBLIC,ACADEMIC,50,43,55,43,54,51,25,49,33,87,49.0,49.0,0
4720,M,Stratum_2,PUBLIC,ACADEMIC,58,63,60,67,53,96,78,70,74,1,63.8,60.2,0
4721,M,Stratum_3,PRIVATE,ACADEMIC,65,47,60,67,58,87,49,56,60,11,52.6,59.4,0
4722,F,Stratum_3,PRIVATE,ACADEMIC,58,52,62,61,49,86,55,34,42,94,62.2,56.4,1
4723,M,Stratum_3,PRIVATE,ACADEMIC,67,66,62,71,76,99,84,88,91,59,84.2,68.4,0
4724,F,Stratum_3,PUBLIC,ACADEMIC,58,57,60,78,68,72,71,83,92,80,79.6,64.2,1
4725,M,Stratum_2,PUBLIC,ACADEMIC,48,38,39,54,48,27,14,9,78,24,30.4,45.4,0
4726,F,Stratum_2,PRIVATE,ACADEMIC,51,63,67,63,57,85,67,33,68,12,53.0,60.2,1
4727,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,50,49,46,50,44,66,6,13,24,53,32.4,47.8,1
4728,M,Stratum_2,PRIVATE,ACADEMIC,81,77,70,81,82,95,93,59,93,72,82.4,78.2,0
4729,F,Stratum_3,PRIVATE,ACADEMIC,54,43,49,58,65,38,25,34,81,63,48.2,53.8,1
4730,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,55,71,73,66,50,63,55,83,55,50,61.2,63.0,0
4731,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,39,52,43,48,52,38,8,6,2,32,17.2,46.8,1
4732,F,Stratum_3,PRIVATE,ACADEMIC,53,71,56,50,60,60,65,73,60,56,62.8,58.0,1
4733,F,Stratum_3,PRIVATE,ACADEMIC,76,56,67,57,65,91,88,37,77,86,75.8,64.2,1
4734,F,Stratum_3,PRIVATE,ACADEMIC,55,60,56,55,58,88,77,43,51,30,57.8,56.8,1
4735,M,Stratum_2,PRIVATE,ACADEMIC,62,77,77,60,62,90,80,78,82,97,85.4,67.6,0
4736,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,49,45,54,54,48,27,22,29,40,32,30.0,50.0,1
4737,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,51,61,58,60,46,99,87,74,67,1,65.6,55.2,0
4738,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,45,54,49,45,53,43,14,15,56,48,35.2,49.2,1
4739,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,53,64,60,57,58,85,89,81,79,93,85.4,58.4,0
4740,M,Stratum_1,PRIVATE,ACADEMIC,70,64,65,68,60,92,70,93,54,44,70.6,65.4,0
4741,F,Stratum_3,PRIVATE,TECHNICAL,81,69,62,77,80,99,64,84,71,59,75.4,73.8,1
4742,F,Stratum_2,PRIVATE,ACADEMIC,55,43,51,60,46,93,35,10,60,88,57.2,51.0,1
4743,M,Stratum_3,PRIVATE,TECHNICAL,78,74,67,78,67,100,100,82,78,86,89.2,72.8,0
4744,M,Stratum_3,PRIVATE,TECHNICAL,71,49,46,61,50,52,55,12,65,14,39.6,55.4,0
4745,F,Stratum_3,PRIVATE,TECHNICAL,65,61,60,63,57,95,82,57,66,89,77.8,61.2,1
4746,F,Stratum_2,PUBLIC,ACADEMIC,65,57,60,54,57,52,26,54,59,0,38.2,58.6,1
4747,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,61,62,64,62,64,93,72,6,75,80,65.2,62.6,0
4748,M,Stratum_2,PRIVATE,ACADEMIC,74,75,77,74,76,94,73,81,92,79,83.8,75.2,0
4749,F,Stratum_2,PUBLIC,ACADEMIC,53,64,52,56,57,83,95,84,79,59,80.0,56.4,1
4750,F,Stratum_2,PRIVATE,ACADEMIC,57,48,45,55,62,69,43,65,86,14,55.4,53.4,1
4751,M,Stratum_2,PUBLIC,TECHNICAL,63,59,64,57,58,100,64,15,47,42,53.6,60.2,0
4752,F,Stratum_4,PRIVATE,ACADEMIC,82,69,77,75,85,96,99,53,99,84,86.2,77.6,1
4753,M,Stratum_3,PRIVATE,ACADEMIC,87,59,56,72,53,96,30,50,72,85,66.6,65.4,0
4754,M,Stratum_3,PRIVATE,ACADEMIC,73,64,62,77,72,95,43,64,91,52,69.0,69.6,0
4755,M,Stratum_1,PRIVATE,ACADEMIC,63,47,54,60,53,57,19,5,24,1,21.2,55.4,0
4756,M,Stratum_3,PRIVATE,ACADEMIC,65,63,62,61,65,95,92,56,85,98,85.2,63.2,0
4757,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,58,41,39,49,44,44,18,29,30,70,38.2,46.2,0
4758,F,Stratum_3,PRIVATE,ACADEMIC,61,53,58,56,54,75,63,53,64,88,68.6,56.4,1
4759,M,Stratum_2,PRIVATE,ACADEMIC,40,40,46,41,44,58,2,1,7,61,25.8,42.2,0
4760,F,Stratum_3,PRIVATE,ACADEMIC,82,72,77,69,78,100,100,98,87,99,96.8,75.6,1
4761,F,Stratum_3,PRIVATE,ACADEMIC,78,60,62,64,82,96,91,93,88,75,88.6,69.2,1
4762,M,Stratum_3,PUBLIC,ACADEMIC,71,61,58,58,52,93,32,70,62,24,56.2,60.0,0
4763,F,Stratum_4,PRIVATE,ACADEMIC,57,64,58,55,49,49,54,21,57,59,48.0,56.6,1
4764,M,Stratum_3,PRIVATE,ACADEMIC,48,66,65,69,52,93,53,51,52,2,50.2,60.0,0
4765,M,Stratum_4,PRIVATE,ACADEMIC,60,54,53,58,62,90,74,70,83,61,75.6,57.4,0
4766,M,Stratum_3,PUBLIC,ACADEMIC,56,51,50,51,43,58,52,46,44,33,46.6,50.2,0
4767,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,82,67,64,72,75,100,98,88,90,15,78.2,72.0,0
4768,M,Stratum_2,PRIVATE,ACADEMIC,65,68,70,72,48,84,61,76,62,40,64.6,64.6,0
4769,M,Stratum_2,PRIVATE,ACADEMIC,58,54,55,58,58,71,84,63,65,74,71.4,56.6,0
4770,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,100,77,82,87,68,96,100,88,79,25,77.6,82.8,0
4771,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,58,47,40,57,57,68,30,30,60,54,48.4,51.8,0
4772,F,Stratum_3,PRIVATE,ACADEMIC,50,64,52,53,57,83,89,71,71,91,81.0,55.2,1
4773,M,Stratum_2,PRIVATE,ACADEMIC,62,54,67,60,54,82,20,24,72,36,46.8,59.4,0
4774,M,Stratum_1,PUBLIC,ACADEMIC,57,50,47,58,44,38,31,17,6,63,31.0,51.2,0
4775,M,Stratum_4,PRIVATE,ACADEMIC,74,78,77,71,67,99,88,75,69,0,66.2,73.4,0
4776,M,Stratum_4,PRIVATE,ACADEMIC,62,66,58,58,65,86,67,71,79,69,74.4,61.8,0
4777,M,Stratum_2,PRIVATE,ACADEMIC,77,71,82,75,90,99,87,97,94,88,93.0,79.0,0
4778,M,Stratum_3,PRIVATE,ACADEMIC,60,54,51,58,55,45,48,37,60,65,51.0,55.6,0
4779,M,Stratum_1,PUBLIC,ACADEMIC,70,64,60,68,40,91,74,69,40,89,72.6,60.4,0
4780,F,Stratum_3,PRIVATE,ACADEMIC,58,66,60,58,67,75,88,74,82,87,81.2,61.8,1
4781,M,Stratum_3,PRIVATE,ACADEMIC,87,74,65,70,78,94,88,79,80,12,70.6,74.8,0
4782,F,Stratum_2,PUBLIC,ACADEMIC,71,65,73,63,54,89,93,95,66,48,78.2,65.2,1
4783,F,Stratum_3,PRIVATE,ACADEMIC,57,55,52,55,62,72,56,78,90,98,78.8,56.2,1
4784,F,Stratum_1,PRIVATE,ACADEMIC,61,57,58,55,67,51,68,63,83,55,64.0,59.6,1
4785,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,81,77,77,72,68,98,88,81,85,100,90.4,75.0,1
4786,M,Stratum_1,PUBLIC,ACADEMIC,48,52,55,63,42,82,33,26,11,94,49.2,52.0,0
4787,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,58,51,56,60,48,77,31,24,36,79,49.4,54.6,0
4788,F,Stratum_3,PRIVATE,ACADEMIC,50,56,53,55,40,35,40,35,7,16,26.6,50.8,1
4789,F,Stratum_2,PRIVATE,ACADEMIC,57,54,58,61,54,89,27,93,23,15,49.4,56.8,1
4790,M,Stratum_5,PRIVATE,ACADEMIC,61,53,58,67,90,58,60,71,99,49,67.4,65.8,0
4791,F,Stratum_3,PRIVATE,ACADEMIC,65,51,58,55,72,21,12,34,41,19,25.4,60.2,1
4792,M,Stratum_2,PRIVATE,ACADEMIC,74,55,58,81,67,94,56,27,82,5,52.8,67.0,0
4793,M,Stratum_4,PRIVATE,ACADEMIC,71,67,82,69,80,100,88,96,95,24,80.6,73.8,0
4794,F,Stratum_2,PUBLIC,TECHNICAL,59,64,60,62,60,67,71,94,82,47,72.2,61.0,1
4795,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,54,61,60,61,65,43,93,94,80,93,80.6,60.2,1
4796,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,55,53,50,49,49,49,48,44,31,63,47.0,51.2,1
4797,M,Stratum_3,PRIVATE,ACADEMIC,67,50,56,60,58,48,4,14,48,98,42.4,58.2,0
4798,M,Stratum_5,PRIVATE,ACADEMIC,71,63,56,69,82,100,74,88,91,91,88.8,68.2,0
4799,M,Stratum_6,PRIVATE,ACADEMIC,70,74,100,72,85,90,99,90,90,68,87.4,80.2,0
4800,F,Stratum_3,PUBLIC,TECHNICAL,70,77,67,74,59,82,80,83,83,33,72.2,69.4,1
4801,M,Stratum_4,PRIVATE,TECHNICAL/ACADEMIC,65,55,62,61,85,73,62,84,98,28,69.0,65.6,0
4802,M,Stratum_3,PRIVATE,ACADEMIC,87,87,77,74,80,99,97,94,94,37,84.2,81.0,0
4803,M,Stratum_2,PUBLIC,TECHNICAL,58,68,65,62,55,61,84,36,78,83,68.4,61.6,0
4804,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,54,61,48,48,43,57,77,62,51,80,65.4,50.8,1
4805,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,67,50,56,58,42,93,37,38,68,33,53.8,54.6,0
4806,F,Stratum_4,PRIVATE,ACADEMIC,55,60,70,57,40,71,38,84,54,80,65.4,56.4,1
4807,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,58,57,52,42,43,73,54,50,27,66,54.0,50.4,0
4808,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,60,52,61,43,99,64,50,25,53,58.2,56.4,0
4809,M,Stratum_4,PRIVATE,ACADEMIC,58,54,60,61,64,68,25,28,83,64,53.6,59.4,0
4810,F,Stratum_5,PRIVATE,ACADEMIC,76,71,70,71,80,94,36,62,90,54,67.2,73.6,1
4811,F,Stratum_5,PRIVATE,ACADEMIC,65,64,60,56,100,100,78,90,97,91,91.2,69.0,1
4812,F,Stratum_4,PRIVATE,ACADEMIC,70,81,82,87,76,98,92,91,67,66,82.8,79.2,1
4813,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,74,74,82,87,70,96,69,92,67,6,66.0,77.4,0
4814,F,Stratum_3,PRIVATE,ACADEMIC,77,59,56,63,59,77,79,59,73,73,72.2,62.8,1
4815,F,Stratum_3,PRIVATE,ACADEMIC,64,64,60,71,60,57,65,61,65,47,59.0,63.8,1
4816,F,Stratum_3,PRIVATE,ACADEMIC,71,74,77,96,74,99,86,88,87,44,80.8,78.4,1
4817,F,Stratum_4,PRIVATE,ACADEMIC,60,59,62,66,65,83,87,76,80,73,79.8,62.4,1
4818,F,Stratum_2,PRIVATE,ACADEMIC,77,72,60,77,64,74,35,73,78,69,65.8,70.0,1
4819,F,Stratum_3,PRIVATE,ACADEMIC,74,66,67,64,67,98,75,89,89,61,82.4,67.6,1
4820,F,Stratum_3,PRIVATE,ACADEMIC,68,81,70,68,54,66,52,93,82,80,74.6,68.2,1
4821,F,Stratum_3,PRIVATE,ACADEMIC,56,67,58,65,59,63,88,80,81,46,71.6,61.0,1
4822,F,Stratum_3,PRIVATE,ACADEMIC,65,59,58,71,64,85,82,54,81,74,75.2,63.4,1
4823,F,Stratum_3,PRIVATE,ACADEMIC,60,59,70,53,67,43,72,73,81,92,72.2,61.8,1
4824,F,Stratum_3,PRIVATE,ACADEMIC,68,63,62,58,68,59,54,25,76,77,58.2,63.8,1
4825,F,Stratum_4,PRIVATE,ACADEMIC,82,69,58,66,65,91,79,77,82,75,80.8,68.0,1
4826,F,Stratum_2,PRIVATE,TECHNICAL,49,66,51,59,55,63,39,61,62,43,53.6,56.0,1
4827,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,69,74,70,75,57,95,84,66,78,99,84.4,69.0,1
4828,F,Stratum_6,PRIVATE,ACADEMIC,68,69,67,60,80,55,70,38,88,24,55.0,68.8,1
4829,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,73,60,60,58,60,87,80,38,19,70,58.8,62.2,1
4830,F,Stratum_4,PRIVATE,ACADEMIC,60,57,58,53,59,80,48,43,76,89,67.2,57.4,1
4831,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,77,57,56,67,43,96,15,40,39,29,43.8,60.0,0
4832,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,70,58,51,69,50,97,46,45,1,72,52.2,59.6,0
4833,M,Stratum_3,PRIVATE,ACADEMIC,67,69,58,70,82,97,71,54,91,94,81.4,69.2,0
4834,M,Stratum_2,PRIVATE,ACADEMIC,86,60,65,71,76,75,73,67,82,6,60.6,71.6,0
4835,M,Stratum_6,PRIVATE,ACADEMIC,71,87,100,74,95,93,91,88,94,59,85.0,85.4,0
4836,M,Stratum_3,PRIVATE,ACADEMIC,74,65,67,71,100,93,92,89,100,100,94.8,75.4,0
4837,M,Stratum_2,PUBLIC,ACADEMIC,60,48,56,62,62,87,31,6,80,28,46.4,57.6,0
4838,M,Stratum_2,PRIVATE,ACADEMIC,47,59,55,52,67,70,12,56,63,20,44.2,56.0,0
4839,M,Stratum_2,PRIVATE,TECHNICAL,73,58,67,67,50,98,82,88,82,31,76.2,63.0,0
4840,F,Stratum_4,PRIVATE,ACADEMIC,70,68,67,68,70,84,60,62,83,64,70.6,68.6,1
4841,M,Stratum_2,PRIVATE,ACADEMIC,57,48,53,63,55,77,23,48,78,30,51.2,55.2,0
4842,F,Stratum_3,PRIVATE,ACADEMIC,67,54,57,55,80,67,59,89,88,2,61.0,62.6,1
4843,M,Stratum_3,PRIVATE,ACADEMIC,71,64,60,75,80,80,97,92,96,91,91.2,70.0,0
4844,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,52,57,53,55,44,83,20,56,35,55,49.8,52.2,1
4845,F,Stratum_3,PUBLIC,ACADEMIC,53,60,50,61,78,80,85,61,91,38,71.0,60.4,1
4846,F,Stratum_3,PUBLIC,ACADEMIC,54,57,65,61,65,84,78,82,80,4,65.6,60.4,1
4847,F,Stratum_5,PRIVATE,ACADEMIC,53,45,54,59,65,87,79,35,82,85,73.6,55.2,1
4848,F,Stratum_4,PUBLIC,ACADEMIC,43,58,54,58,54,44,10,34,55,13,31.2,53.4,1
4849,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,71,75,64,69,57,92,79,77,73,86,81.4,67.2,1
4850,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,60,54,60,57,67,71,48,67,83,19,57.6,59.6,0
4851,M,Stratum_2,PUBLIC,ACADEMIC,47,52,53,46,42,83,53,46,44,72,59.6,48.0,0
4852,M,Stratum_2,PRIVATE,ACADEMIC,68,59,67,59,78,98,63,75,90,37,72.6,66.2,0
4853,M,Stratum_6,PRIVATE,ACADEMIC,45,52,53,40,58,54,28,35,47,0,32.8,49.6,0
4854,M,Stratum_2,PUBLIC,ACADEMIC,61,66,67,53,76,88,73,80,94,7,68.4,64.6,0
4855,M,Stratum_4,PRIVATE,ACADEMIC,40,65,56,48,74,57,61,77,92,57,68.8,56.6,0
4856,M,Stratum_1,PRIVATE,ACADEMIC,81,66,82,72,65,98,93,93,16,22,64.4,73.2,0
4857,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,95,62,67,74,55,98,77,36,79,100,78.0,70.6,1
4858,M,Stratum_5,PRIVATE,ACADEMIC,82,78,82,81,80,100,88,94,95,78,91.0,80.6,0
4859,M,Stratum_4,PRIVATE,ACADEMIC,77,61,58,65,72,100,60,69,88,79,79.2,66.6,0
4860,M,Stratum_2,PRIVATE,ACADEMIC,64,58,60,72,55,89,48,76,80,90,76.6,61.8,0
4861,M,Stratum_5,PRIVATE,ACADEMIC,63,65,58,59,82,89,92,97,98,96,94.4,65.4,0
4862,M,Stratum_3,PRIVATE,ACADEMIC,96,81,91,87,78,99,96,98,91,45,85.8,86.6,0
4863,M,Stratum_3,PRIVATE,ACADEMIC,86,66,73,87,80,98,99,94,87,75,90.6,78.4,0
4864,F,Stratum_3,PUBLIC,ACADEMIC,55,64,60,58,68,54,40,38,82,20,46.8,61.0,1
4865,F,Stratum_3,PUBLIC,ACADEMIC,48,64,60,54,49,59,55,48,59,88,61.8,55.0,1
4866,F,Stratum_2,PRIVATE,ACADEMIC,62,56,65,63,54,54,69,64,73,98,71.6,60.0,1
4867,F,Stratum_3,PUBLIC,ACADEMIC,73,62,60,61,57,97,70,68,77,39,70.2,62.6,1
4868,F,Stratum_3,PRIVATE,ACADEMIC,45,47,64,53,68,72,63,76,94,93,79.6,55.4,1
4869,M,Stratum_4,PRIVATE,ACADEMIC,95,71,73,71,70,100,80,82,78,98,87.6,76.0,0
4870,M,Stratum_3,PRIVATE,ACADEMIC,60,56,67,61,55,62,67,83,83,13,61.6,59.8,0
4871,M,Stratum_3,PRIVATE,ACADEMIC,77,66,67,68,90,100,64,68,95,43,74.0,73.6,0
4872,M,Stratum_2,PRIVATE,ACADEMIC,61,69,62,66,59,92,81,82,81,96,86.4,63.4,0
4873,F,Stratum_2,PRIVATE,ACADEMIC,64,58,58,63,59,72,37,65,66,29,53.8,60.4,1
4874,M,Stratum_3,PRIVATE,ACADEMIC,97,100,90,75,100,100,98,95,99,74,93.2,92.4,0
4875,F,Stratum_3,PUBLIC,ACADEMIC,54,67,82,54,67,51,42,21,70,64,49.6,64.8,1
4876,F,Stratum_3,PRIVATE,ACADEMIC,53,56,67,55,54,64,49,26,58,14,42.2,57.0,1
4877,M,Stratum_4,PRIVATE,ACADEMIC,88,64,64,66,68,96,50,24,67,17,50.8,70.0,0
4878,F,Stratum_2,PRIVATE,ACADEMIC,36,54,51,34,52,23,14,37,15,42,26.2,45.4,1
4879,F,Stratum_2,PUBLIC,ACADEMIC,60,64,62,68,68,98,70,62,79,23,66.4,64.4,1
4880,M,Stratum_2,PRIVATE,ACADEMIC,74,75,77,81,82,97,91,100,97,7,78.4,77.8,0
4881,F,Stratum_4,PRIVATE,ACADEMIC,56,59,60,57,80,54,66,51,94,85,70.0,62.4,1
4882,M,Stratum_5,PRIVATE,TECHNICAL/ACADEMIC,60,64,65,58,76,70,15,57,88,13,48.6,64.6,0
4883,F,Stratum_3,PUBLIC,ACADEMIC,71,81,70,64,76,99,96,94,93,66,89.6,72.4,1
