,COL_GRADE_AVG
2335,84.33333333333333
11809,28.666666666666668
10561,63.333333333333336
2063,77.33333333333333
4870,77.66666666666667
1876,96.0
11596,98.33333333333331
5043,75.0
8869,96.33333333333331
9998,79.33333333333333
6088,92.33333333333331
9416,32.666666666666664
1715,23.33333333333333
7116,68.33333333333333
7228,43.333333333333336
4392,58.333333333333336
2936,84.33333333333333
1398,80.0
10176,46.333333333333336
499,48.66666666666666
12235,44.0
11950,77.0
12279,52.333333333333336
4703,65.33333333333333
9261,74.66666666666667
5735,80.66666666666667
3620,65.0
6550,41.66666666666666
197,80.33333333333333
4185,94.66666666666669
4904,21.666666666666668
2470,32.666666666666664
10366,58.66666666666666
1351,77.33333333333333
913,56.66666666666666
9091,92.0
6183,88.66666666666667
3480,79.0
4387,81.33333333333333
8408,71.0
780,83.0
1334,86.0
2632,24.666666666666668
1571,71.0
2102,60.0
11246,87.0
1542,94.33333333333331
4481,84.33333333333333
2101,42.66666666666666
7989,86.66666666666667
7945,81.66666666666667
10427,82.33333333333333
4336,79.33333333333333
2456,58.333333333333336
308,21.33333333333333
5146,89.0
7721,84.66666666666667
12273,68.33333333333333
7027,56.333333333333336
4147,73.66666666666667
1837,61.66666666666666
2480,65.33333333333333
7788,73.66666666666667
389,82.0
9695,31.33333333333333
7880,39.66666666666666
67,72.33333333333333
7314,76.0
715,80.33333333333333
11355,91.33333333333331
10000,59.333333333333336
3912,65.66666666666667
4683,61.66666666666666
3843,21.666666666666668
11153,93.33333333333331
9244,26.33333333333333
2740,95.66666666666669
5278,84.66666666666667
2084,82.66666666666667
10170,65.33333333333333
1838,41.333333333333336
10685,90.0
1551,49.333333333333336
3362,77.33333333333333
7521,81.66666666666667
223,39.66666666666666
1377,31.666666666666668
2508,83.33333333333333
9756,35.333333333333336
6100,85.66666666666667
5037,56.0
5436,30.666666666666668
8800,44.333333333333336
8757,70.0
4987,79.66666666666667
7226,70.66666666666667
5679,33.666666666666664
1259,77.66666666666667
115,55.0
3644,61.333333333333336
8494,75.33333333333333
4962,90.66666666666669
6059,87.33333333333333
7955,89.0
10878,20.666666666666668
7488,43.66666666666666
11396,88.0
2888,43.333333333333336
2401,73.0
227,50.66666666666666
1863,43.66666666666666
3816,45.333333333333336
1586,46.0
7022,47.333333333333336
2090,59.66666666666666
10500,26.0
7481,79.33333333333333
8837,54.333333333333336
3632,49.0
9917,50.0
1740,39.333333333333336
4312,82.66666666666667
12081,84.0
6905,47.333333333333336
8611,76.66666666666667
12076,68.66666666666667
3044,50.66666666666666
1224,72.0
11078,49.333333333333336
8547,65.33333333333333
212,93.33333333333331
1466,65.33333333333333
11661,85.33333333333333
4565,49.333333333333336
6496,61.0
9258,84.66666666666667
10490,77.0
8121,93.0
1033,51.333333333333336
6859,76.0
12226,92.66666666666669
7451,96.66666666666669
9472,45.0
9438,20.666666666666668
6835,26.0
8048,35.666666666666664
5596,93.66666666666669
8910,85.0
2670,37.66666666666666
10682,27.666666666666668
3031,89.66666666666667
11500,75.0
11861,97.0
2853,22.0
8797,76.0
4054,63.333333333333336
1941,65.66666666666667
1623,39.333333333333336
910,79.66666666666667
7464,27.0
11346,65.33333333333333
1703,75.33333333333333
8670,52.0
6653,81.33333333333333
4293,98.0
1543,77.0
2225,50.0
7130,22.33333333333333
11599,72.66666666666667
6530,64.66666666666667
9289,82.66666666666667
3466,47.66666666666666
6332,58.66666666666666
4577,90.0
7361,71.66666666666667
7495,62.66666666666666
186,51.66666666666666
4326,84.0
11313,90.66666666666669
6505,75.66666666666667
1609,79.0
7526,38.66666666666666
9789,63.0
4295,86.33333333333333
10543,53.333333333333336
2425,30.0
3001,63.333333333333336
4538,57.0
12138,93.66666666666669
735,11.0
7129,86.0
2706,43.0
12179,95.66666666666669
8582,82.33333333333333
246,86.66666666666667
6727,84.0
7656,50.333333333333336
1618,53.0
11629,97.0
7473,22.33333333333333
4779,61.0
4285,65.0
4966,36.0
1032,32.666666666666664
9945,33.333333333333336
8840,36.0
3868,45.66666666666666
6717,27.666666666666668
484,39.0
2946,33.333333333333336
2182,41.66666666666666
203,24.666666666666668
6541,68.0
9593,22.666666666666668
8146,91.33333333333331
4442,62.333333333333336
401,69.0
7145,92.66666666666669
6409,55.333333333333336
9561,12.666666666666666
10702,60.0
6955,73.33333333333333
2780,96.33333333333331
2660,52.333333333333336
9010,95.0
10308,85.0
11163,93.33333333333331
403,51.333333333333336
5411,86.66666666666667
4840,68.33333333333333
9666,39.66666666666666
956,26.0
6231,84.66666666666667
1939,78.33333333333333
8214,49.66666666666666
3616,67.0
12355,56.333333333333336
802,16.333333333333332
760,34.333333333333336
1167,81.33333333333333
7749,28.666666666666668
2624,74.0
7791,72.66666666666667
8606,43.66666666666666
2811,82.0
11910,91.0
12040,82.0
7662,12.0
10604,54.333333333333336
1012,28.33333333333333
9048,80.33333333333333
1798,45.0
3228,91.33333333333331
2308,98.66666666666669
632,59.0
8771,78.33333333333333
1071,96.33333333333331
3880,29.0
536,52.0
4712,60.66666666666666
7350,47.333333333333336
8831,71.33333333333333
6176,81.0
10846,98.66666666666669
1035,34.333333333333336
8461,52.66666666666666
12118,89.66666666666667
6927,98.66666666666669
1356,64.66666666666667
12172,92.33333333333331
5647,72.66666666666667
8206,53.66666666666666
9613,91.66666666666669
7215,20.33333333333333
5727,76.33333333333333
4195,41.0
12018,99.0
2569,95.33333333333331
8341,76.66666666666667
2861,50.0
108,87.66666666666667
906,62.0
5964,39.66666666666666
6620,37.66666666666666
1044,83.66666666666667
4676,58.333333333333336
11380,80.33333333333333
5746,88.66666666666667
6318,25.0
11681,59.0
4912,98.0
8600,83.66666666666667
9614,67.0
8499,58.333333333333336
1201,44.333333333333336
8372,68.33333333333333
1368,43.333333333333336
7316,14.0
2684,52.0
9769,73.33333333333333
8144,95.33333333333331
4936,43.0
4625,63.66666666666666
1257,53.0
6556,58.0
11088,66.0
2424,65.66666666666667
7424,74.33333333333333
4787,30.33333333333333
5028,91.33333333333331
3368,79.0
4525,63.0
3395,52.0
2733,37.333333333333336
3853,77.33333333333333
239,90.66666666666669
1892,46.333333333333336
4091,77.66666666666667
4463,49.0
10053,81.0
6274,92.66666666666669
6874,86.66666666666667
10408,71.66666666666667
7994,80.33333333333333
11533,91.33333333333331
398,51.66666666666666
4647,66.66666666666667
5313,16.0
10389,78.0
10478,26.33333333333333
9234,72.0
6645,59.66666666666666
1554,55.0
1272,78.33333333333333
231,84.33333333333333
7683,66.0
11103,61.333333333333336
1901,82.0
7893,24.666666666666668
4274,92.66666666666669
4149,30.0
9578,91.66666666666669
1226,44.0
6998,88.66666666666667
5281,60.333333333333336
7795,75.33333333333333
5319,47.333333333333336
5233,58.66666666666666
1575,61.66666666666666
3245,75.0
2892,98.66666666666669
8419,77.33333333333333
2011,23.33333333333333
2812,59.333333333333336
1507,69.0
6076,91.0
10927,69.33333333333333
1770,32.666666666666664
5776,89.66666666666667
4480,76.33333333333333
5936,33.666666666666664
10953,81.0
10778,84.66666666666667
7173,82.66666666666667
4589,85.66666666666667
775,54.333333333333336
3874,38.0
1517,89.0
11005,36.66666666666666
10424,77.33333333333333
3719,61.0
3436,90.0
6529,59.333333333333336
12147,61.333333333333336
10401,74.33333333333333
1510,87.66666666666667
4222,79.0
11094,81.0
7223,52.333333333333336
411,28.666666666666668
349,50.0
9287,80.33333333333333
3861,25.33333333333333
1519,53.66666666666666
9889,57.333333333333336
646,50.66666666666666
11537,89.0
2787,56.66666666666666
4996,94.0
11064,30.33333333333333
3724,53.66666666666666
9339,19.0
11635,71.0
6399,60.66666666666666
9431,40.66666666666666
8638,75.33333333333333
9131,91.0
1722,49.66666666666666
8584,95.33333333333331
11361,83.0
11881,59.0
11990,71.66666666666667
7682,49.333333333333336
2287,85.66666666666667
6824,80.66666666666667
11981,88.33333333333333
4429,81.0
9782,28.666666666666668
1804,52.333333333333336
5807,64.0
7581,88.33333333333333
7826,48.0
9204,29.0
1422,13.0
11225,36.66666666666666
1725,20.33333333333333
10347,97.0
8790,33.0
6680,68.0
7616,82.0
2140,81.66666666666667
3461,38.333333333333336
591,59.333333333333336
2637,47.333333333333336
6493,56.66666666666666
4227,93.0
1374,41.333333333333336
4735,80.0
5865,37.333333333333336
10662,87.33333333333333
10177,46.0
580,91.0
7474,66.33333333333333
6146,90.0
3443,85.33333333333333
4837,39.0
1255,80.66666666666667
4655,35.333333333333336
7502,40.333333333333336
11580,64.0
6906,54.66666666666666
8444,93.0
11707,60.66666666666666
1973,38.333333333333336
11285,46.0
6193,81.0
5150,80.0
6139,70.33333333333333
5749,95.33333333333331
11850,83.33333333333333
4228,35.0
4193,47.333333333333336
383,76.66666666666667
6468,25.0
3732,74.0
1150,63.333333333333336
11387,81.0
8481,74.33333333333333
8708,69.0
10601,85.66666666666667
1093,90.66666666666669
7121,69.66666666666667
3771,88.66666666666667
9290,76.66666666666667
3464,40.66666666666666
4810,62.66666666666666
3955,35.0
9002,97.33333333333331
3938,90.0
1270,65.66666666666667
12383,34.666666666666664
1603,25.33333333333333
9634,50.66666666666666
12388,75.66666666666667
320,72.0
11323,84.33333333333333
1525,47.0
7863,19.33333333333333
7894,59.66666666666666
10843,71.0
207,65.66666666666667
7286,39.333333333333336
5427,32.666666666666664
4359,56.0
6494,48.333333333333336
6868,89.66666666666667
3488,41.66666666666666
2171,43.66666666666666
2159,47.333333333333336
4104,73.33333333333333
9274,68.66666666666667
7678,59.66666666666666
2019,84.0
10738,32.333333333333336
5789,56.66666666666666
3917,44.66666666666666
1251,43.333333333333336
5571,51.0
8747,52.0
9708,93.0
3350,22.0
6633,26.33333333333333
4670,75.0
878,50.66666666666666
9247,81.33333333333333
4722,43.66666666666666
10243,24.666666666666668
2062,49.333333333333336
4832,30.666666666666668
2827,67.33333333333333
11215,96.66666666666669
481,16.333333333333332
1745,22.33333333333333
9326,93.66666666666669
823,30.666666666666668
1663,74.33333333333333
3143,77.66666666666667
10769,59.66666666666666
7641,79.66666666666667
1087,64.66666666666667
5101,63.333333333333336
3097,42.0
8100,54.0
7105,86.66666666666667
10463,88.66666666666667
3899,62.66666666666666
4861,95.66666666666669
9001,45.0
10538,62.333333333333336
12274,91.33333333333331
2818,91.33333333333331
10145,87.33333333333333
10981,69.66666666666667
7943,50.333333333333336
7189,36.66666666666666
11481,65.33333333333333
5029,85.33333333333333
9381,25.666666666666668
10096,98.0
4097,33.333333333333336
6652,9.0
3947,31.666666666666668
1587,86.33333333333333
9077,69.33333333333333
7988,80.66666666666667
2438,36.0
786,55.66666666666666
11836,65.33333333333333
10977,36.66666666666666
3702,67.0
6834,15.0
10179,75.33333333333333
5236,68.33333333333333
7649,56.66666666666666
6190,44.0
3559,86.0
204,71.33333333333333
5623,28.0
8233,49.0
9730,83.33333333333333
1849,67.0
6103,32.333333333333336
6060,37.66666666666666
3722,77.33333333333333
2914,32.0
3968,63.333333333333336
10874,75.0
9076,55.333333333333336
11571,43.66666666666666
8150,73.66666666666667
3378,50.333333333333336
2749,88.66666666666667
2183,55.66666666666666
8826,58.333333333333336
4931,88.66666666666667
1188,91.33333333333331
210,91.66666666666669
356,47.333333333333336
12075,53.66666666666666
7891,55.333333333333336
2488,74.66666666666667
4884,97.33333333333331
3695,44.66666666666666
12156,32.666666666666664
3747,71.0
492,49.66666666666666
5424,67.66666666666667
9252,42.0
332,44.333333333333336
11236,91.66666666666669
12294,17.666666666666668
3433,39.333333333333336
4148,89.0
8814,58.333333333333336
8407,79.0
9144,88.0
5400,42.66666666666666
4259,57.333333333333336
2518,72.0
8453,14.666666666666666
11137,99.33333333333331
7068,72.66666666666667
7622,36.333333333333336
2047,61.333333333333336
4375,94.0
6686,78.33333333333333
8642,65.0
5787,10.666666666666666
1370,22.666666666666668
430,50.333333333333336
980,93.0
1307,14.0
5659,37.66666666666666
6875,64.33333333333333
8833,28.666666666666668
4959,49.0
10289,69.33333333333333
11906,39.0
11785,35.666666666666664
271,65.0
10709,18.666666666666668
10619,37.333333333333336
5797,99.0
1976,56.66666666666666
3697,87.33333333333333
1787,41.333333333333336
6185,63.333333333333336
8842,71.66666666666667
8141,93.33333333333331
4423,93.0
9041,93.33333333333331
7849,40.66666666666666
1413,50.333333333333336
5383,81.66666666666667
6349,38.333333333333336
12108,77.66666666666667
9617,98.33333333333331
10745,12.0
5888,70.0
1556,87.66666666666667
4152,29.0
100,96.33333333333331
3519,51.66666666666666
4938,57.66666666666666
6817,53.0
11242,88.33333333333333
3331,60.0
7972,87.33333333333333
362,38.333333333333336
4428,80.33333333333333
7617,56.0
1281,25.0
3336,50.0
8536,30.33333333333333
2907,86.0
2829,14.0
2556,75.33333333333333
8592,30.33333333333333
699,60.333333333333336
1918,63.66666666666666
11904,92.66666666666669
4881,70.33333333333333
9639,30.666666666666668
5453,45.0
11196,100.0
1666,91.33333333333331
3878,39.333333333333336
9170,61.0
7056,61.66666666666666
7629,66.0
5422,58.333333333333336
5583,69.66666666666667
8768,92.66666666666669
6725,81.33333333333333
9895,71.0
4879,70.33333333333333
3870,100.0
5968,79.33333333333333
2649,82.0
11395,95.0
9313,43.333333333333336
9822,75.66666666666667
10100,50.333333333333336
10688,25.0
6957,90.33333333333331
5061,42.0
6316,37.333333333333336
7,92.33333333333331
952,62.0
8469,61.66666666666666
6779,71.66666666666667
7553,61.66666666666666
6141,95.66666666666669
11268,83.0
3254,46.333333333333336
4590,30.666666666666668
9481,11.666666666666666
7411,79.33333333333333
5520,95.33333333333331
10734,64.66666666666667
1635,87.0
6319,52.0
4118,11.0
11966,82.33333333333333
8050,67.0
5039,77.33333333333333
12089,71.66666666666667
9553,70.66666666666667
328,28.666666666666668
2065,63.66666666666666
2100,41.0
3409,16.0
1061,86.33333333333333
4986,31.33333333333333
10514,19.0
7646,60.66666666666666
3889,54.333333333333336
8090,70.0
9599,89.66666666666667
1182,51.66666666666666
9784,18.0
2606,53.333333333333336
2582,45.0
9785,35.0
6673,50.0
4909,68.0
11936,63.66666666666666
10536,84.0
11060,45.333333333333336
7293,58.333333333333336
12095,30.0
8442,77.33333333333333
370,50.333333333333336
125,91.0
10902,17.0
8094,53.333333333333336
6757,51.66666666666666
946,47.333333333333336
9062,43.0
10599,97.66666666666669
5918,68.0
10763,66.33333333333333
9277,46.333333333333336
2655,72.0
600,21.33333333333333
8424,57.333333333333336
9525,42.333333333333336
11347,83.66666666666667
5897,85.33333333333333
2433,60.66666666666666
5759,37.333333333333336
638,43.66666666666666
9012,23.33333333333333
4973,45.333333333333336
12368,89.33333333333333
8025,41.0
1832,87.0
6404,87.0
159,69.66666666666667
7207,42.66666666666666
11520,65.33333333333333
9757,31.0
3169,38.0
778,58.66666666666666
7681,82.0
1114,57.66666666666666
5970,80.0
7005,82.33333333333333
8876,83.33333333333333
10617,83.66666666666667
3754,54.0
12348,33.333333333333336
11444,16.666666666666668
5496,48.333333333333336
9616,93.0
11430,74.66666666666667
8623,86.33333333333333
