,HI_GRADE_AVG,GENDER_bin,STRATUM_0,STRATUM_Stratum_1,STRATUM_Stratum_2,STRATUM_Stratum_3,STRATUM_Stratum_4,STRATUM_Stratum_5,STRATUM_Stratum_6
11890,63.66666666666666,1,0,0,0,1,0,0,0
192,43.0,0,0,1,0,0,0,0,0
1968,56.66666666666666,0,0,0,1,0,0,0,0
11249,79.0,0,0,0,0,0,0,1,0
6320,43.0,1,0,0,1,0,0,0,0
8579,61.333333333333336,1,0,0,0,0,1,0,0
5350,72.66666666666667,0,0,0,0,1,0,0,0
171,53.66666666666666,1,0,0,0,1,0,0,0
6138,76.66666666666667,1,0,0,0,0,0,1,0
594,54.333333333333336,0,0,0,0,1,0,0,0
6178,76.33333333333333,0,0,0,0,0,0,1,0
9849,67.33333333333333,0,0,0,1,0,0,0,0
6934,52.0,0,0,0,0,0,1,0,0
199,67.33333333333333,1,0,0,0,0,1,0,0
1732,44.333333333333336,1,0,0,1,0,0,0,0
683,61.66666666666666,1,0,0,1,0,0,0,0
10590,58.66666666666666,0,0,0,0,0,1,0,0
8626,60.0,0,0,0,1,0,0,0,0
7506,49.333333333333336,0,0,0,1,0,0,0,0
8515,73.33333333333333,0,0,0,0,1,0,0,0
6134,51.0,0,0,0,1,0,0,0,0
4373,91.33333333333331,0,0,0,0,0,0,0,1
2430,76.66666666666667,1,0,0,0,1,0,0,0
6536,59.0,1,0,0,1,0,0,0,0
4281,71.33333333333333,0,0,0,0,0,1,0,0
11748,57.0,0,0,0,0,1,0,0,0
1893,43.333333333333336,0,0,1,0,0,0,0,0
7918,70.0,1,0,0,1,0,0,0,0
9802,52.0,0,0,0,0,1,0,0,0
10097,78.0,1,0,0,0,0,0,1,0
3741,32.333333333333336,0,0,0,1,0,0,0,0
3892,66.33333333333333,1,0,0,0,0,1,0,0
2032,60.0,0,0,0,1,0,0,0,0
11696,67.0,0,0,0,0,0,1,0,0
6626,54.66666666666666,0,0,0,1,0,0,0,0
5216,61.333333333333336,0,0,0,1,0,0,0,0
874,44.333333333333336,1,0,1,0,0,0,0,0
829,51.66666666666666,0,0,0,1,0,0,0,0
1590,68.0,0,0,0,1,0,0,0,0
3970,45.333333333333336,1,0,0,1,0,0,0,0
8574,68.33333333333333,1,0,0,0,0,1,0,0
8681,68.66666666666667,0,0,0,1,0,0,0,0
3669,74.66666666666667,1,0,0,0,1,0,0,0
7074,77.0,1,0,0,0,0,0,0,1
620,67.66666666666667,1,0,0,1,0,0,0,0
4930,65.33333333333333,0,0,0,0,1,0,0,0
9644,51.66666666666666,1,0,0,0,1,0,0,0
1711,53.0,0,0,0,1,0,0,0,0
12017,74.33333333333333,0,0,0,0,0,0,1,0
10641,59.0,0,0,0,1,0,0,0,0
12382,80.66666666666667,1,0,0,0,0,1,0,0
4001,47.66666666666666,0,0,0,1,0,0,0,0
417,55.333333333333336,0,0,0,0,1,0,0,0
3548,57.0,0,0,0,1,0,0,0,0
8200,51.333333333333336,0,0,0,0,1,0,0,0
11439,56.66666666666666,1,0,0,0,1,0,0,0
8128,51.66666666666666,0,0,0,1,0,0,0,0
6501,70.0,0,0,0,1,0,0,0,0
8154,51.66666666666666,0,0,0,1,0,0,0,0
4060,49.333333333333336,1,0,1,0,0,0,0,0
7405,59.0,0,0,0,1,0,0,0,0
3740,52.66666666666666,1,0,1,0,0,0,0,0
4156,73.0,0,0,0,1,0,0,0,0
6021,74.33333333333333,0,0,1,0,0,0,0,0
7667,58.66666666666666,1,0,0,1,0,0,0,0
10637,57.0,0,0,0,0,1,0,0,0
6006,71.66666666666667,0,0,0,0,1,0,0,0
475,63.333333333333336,0,0,0,1,0,0,0,0
8237,60.0,0,0,0,1,0,0,0,0
3701,51.333333333333336,0,0,0,0,1,0,0,0
8136,65.33333333333333,0,0,0,0,1,0,0,0
7838,49.333333333333336,0,0,0,0,1,0,0,0
185,69.66666666666667,0,0,1,0,0,0,0,0
6487,57.66666666666666,1,0,0,1,0,0,0,0
2279,73.0,0,0,0,1,0,0,0,0
9268,47.66666666666666,0,0,0,1,0,0,0,0
6424,57.333333333333336,0,0,0,1,0,0,0,0
11645,76.33333333333333,1,0,0,0,1,0,0,0
7066,53.0,1,0,0,0,1,0,0,0
12408,67.33333333333333,0,0,0,1,0,0,0,0
