,COL_GRADE_AVG,Preds
11570,94.66666666666669,78.57203
10013,94.66666666666669,89.984375
4640,94.66666666666669,86.29793
8566,94.66666666666669,87.764915
5145,94.66666666666669,82.25809
1215,94.66666666666669,90.8629
2953,94.66666666666669,80.75374
11165,94.66666666666669,77.515495
1459,94.66666666666669,80.545296
4455,94.66666666666669,86.57572
5908,94.66666666666669,80.80221
8005,94.33333333333331,87.82368
9332,94.33333333333331,83.68255
11143,94.33333333333331,78.640076
9343,94.33333333333331,83.54027
5673,94.33333333333331,92.310135
11721,94.33333333333331,91.044945
9709,94.33333333333331,86.57572
11344,94.33333333333331,85.857605
2940,94.33333333333331,87.81243
9035,94.33333333333331,88.45815
10029,94.33333333333331,86.382645
5919,94.33333333333331,87.99492
10046,94.33333333333331,91.044945
4502,94.33333333333331,82.72373
2243,94.33333333333331,88.248955
8046,94.33333333333331,89.72662
10754,94.33333333333331,90.58971
10363,94.33333333333331,90.68091
6699,94.33333333333331,83.25419
11384,94.33333333333331,79.30054
4413,94.33333333333331,86.19847
5360,94.33333333333331,80.753456
4593,94.33333333333331,82.60032
5079,94.33333333333331,90.51407
11699,94.33333333333331,82.72421
2703,94.33333333333331,69.23296
8362,94.0,89.897865
5695,94.0,76.05116
10507,94.0,78.526535
1349,94.0,86.382645
2071,94.0,90.56629
11182,94.0,77.23363
10318,94.0,90.28136
5391,94.0,85.857605
4914,94.0,79.670586
4622,94.0,80.76044
4460,94.0,81.812546
9383,94.0,85.439674
3729,94.0,78.412125
8190,94.0,87.050705
2593,94.0,86.608765
2373,94.0,87.24657
3311,94.0,85.224785
12116,94.0,86.95583
11408,94.0,90.49426
2220,94.0,75.801125
11525,93.66666666666669,77.97332
4403,93.66666666666669,86.923584
8832,93.66666666666669,74.25588
9590,93.66666666666669,67.4194
7804,93.66666666666669,90.480965
5588,93.66666666666669,88.4852
4391,93.66666666666669,85.232994
5566,93.66666666666669,78.66139
12269,93.66666666666669,85.467026
260,93.66666666666669,83.04558
1121,93.66666666666669,82.48828
25,93.33333333333331,80.83157
11992,93.33333333333331,82.42933
4052,93.33333333333331,76.35526
6029,93.33333333333331,74.58573
6211,93.33333333333331,77.02657
6952,93.33333333333331,82.55249
8996,93.33333333333331,89.05827
12145,93.33333333333331,80.60358
6260,93.33333333333331,78.709785
8087,93.33333333333331,86.05159
9989,93.33333333333331,80.55898
1216,93.33333333333331,89.88466
4006,93.33333333333331,77.22017
1128,93.33333333333331,80.02071
5123,93.33333333333331,69.477974
7975,93.33333333333331,73.635796
10168,93.33333333333331,77.25271
8774,93.33333333333331,80.7413
11564,93.33333333333331,86.16394
3415,93.0,66.15557
9246,93.0,86.23036
5318,93.0,85.826126
4799,93.0,92.29428
2773,93.0,67.20928
11516,93.0,87.91207
8560,93.0,90.26901
7014,93.0,90.31586
8263,93.0,80.862564
1550,93.0,83.4251
10094,93.0,88.37768
4126,93.0,82.32509
11507,93.0,82.37545
11947,93.0,83.52975
7867,93.0,86.853424
7747,93.0,86.818825
1156,93.0,77.41789
3950,93.0,83.559425
7856,93.0,67.313515
2330,93.0,81.42403
7605,93.0,89.08474
1212,93.0,87.823784
228,92.66666666666669,85.8778
9285,92.66666666666669,80.7413
11401,92.66666666666669,86.253044
7712,92.66666666666669,88.19246
9957,92.66666666666669,85.89836
11435,92.66666666666669,90.202255
6789,92.66666666666669,79.860725
5663,92.66666666666669,86.02723
4270,92.66666666666669,86.75234
11306,92.66666666666669,86.83238
7046,92.66666666666669,90.49426
